[2339, 1653]
[paragraph, [237.0, 208.0, 1178.0, 36.0], shoonya_1s54XQWW0TOM73, 5686315]
[paragraph, [237.0, 244.0, 1178.0, 36.0], shoonya_1s54XQWW0TOM73, 5686315]
[paragraph, [237.0, 280.0, 1178.0, 36.0], shoonya_1s54XQWW0TOM73, 5686315]
[paragraph, [237.0, 316.0, 1178.0, 36.0], shoonya_1s54XQWW0TOM73, 5686315]
[paragraph, [237.0, 352.0, 1178.0, 36.0], shoonya_1s54XQWW0TOM73, 5686315]
[paragraph, [580.0, 440.0, 500.0, 36.0], i6qckOjrji, 5686315]
[paragraph, [580.0, 476.0, 500.0, 36.0], i6qckOjrji, 5686315]
[paragraph, [580.0, 512.0, 500.0, 36.0], i6qckOjrji, 5686315]
[paragraph, [580.0, 548.0, 500.0, 36.0], i6qckOjrji, 5686315]
[paragraph, [675.0, 601.0, 278.0, 36.0], 25FlLszX6n, 5686315]
[reference, [967.0, 603.0, 196.0, 36.0], OQfEerIcNt, 5686315]
[paragraph, [236.0, 671.0, 1178.0, 36.0], shoonya_4sNJNCK8B93V42, 5686315]
[paragraph, [236.0, 707.0, 1178.0, 36.0], shoonya_4sNJNCK8B93V42, 5686315]
[paragraph, [236.0, 743.0, 1178.0, 36.0], shoonya_4sNJNCK8B93V42, 5686315]
[paragraph, [236.0, 779.0, 1178.0, 36.0], shoonya_4sNJNCK8B93V42, 5686315]
[paragraph, [236.0, 815.0, 1178.0, 36.0], shoonya_4sNJNCK8B93V42, 5686315]
[paragraph, [236.0, 851.0, 1178.0, 36.0], shoonya_4sNJNCK8B93V42, 5686315]
[paragraph, [236.0, 887.0, 1178.0, 36.0], shoonya_4sNJNCK8B93V42, 5686315]
[paragraph, [236.0, 923.0, 1178.0, 36.0], shoonya_4sNJNCK8B93V42, 5686315]
[paragraph, [236.0, 959.0, 1178.0, 36.0], shoonya_4sNJNCK8B93V42, 5686315]
[paragraph, [236.0, 995.0, 1178.0, 36.0], shoonya_4sNJNCK8B93V42, 5686315]
[paragraph, [237.0, 1156.0, 1176.0, 36.0], shoonya_0sJ1DIXK7RLOB1, 5686315]
[paragraph, [237.0, 1192.0, 1176.0, 36.0], shoonya_0sJ1DIXK7RLOB1, 5686315]
[paragraph, [237.0, 1228.0, 1176.0, 36.0], shoonya_0sJ1DIXK7RLOB1, 5686315]
[paragraph, [237.0, 1264.0, 1176.0, 36.0], shoonya_0sJ1DIXK7RLOB1, 5686315]
[paragraph, [237.0, 1300.0, 1176.0, 36.0], shoonya_0sJ1DIXK7RLOB1, 5686315]
[paragraph, [237.0, 1336.0, 1176.0, 36.0], shoonya_0sJ1DIXK7RLOB1, 5686315]
[paragraph, [237.0, 1372.0, 1176.0, 36.0], shoonya_0sJ1DIXK7RLOB1, 5686315]
[paragraph, [574.0, 1460.0, 510.0, 36.0], PgvJua1VlQ, 5686315]
[paragraph, [574.0, 1496.0, 510.0, 36.0], PgvJua1VlQ, 5686315]
[paragraph, [574.0, 1532.0, 510.0, 36.0], PgvJua1VlQ, 5686315]
[paragraph, [574.0, 1568.0, 510.0, 36.0], PgvJua1VlQ, 5686315]
[paragraph, [681.0, 1624.0, 326.0, 36.0], d0iSsXzSTh, 5686315]
[reference, [1026.0, 1624.0, 221.0, 36.0], vNMYJ6Ji_t, 5686315]
[paragraph, [232.0, 1708.0, 1183.0, 36.0], shoonya_3sG20I0WAHNC6W, 5686315]
[paragraph, [232.0, 1744.0, 1183.0, 36.0], shoonya_3sG20I0WAHNC6W, 5686315]
[paragraph, [232.0, 1780.0, 1183.0, 36.0], shoonya_3sG20I0WAHNC6W, 5686315]
[paragraph, [232.0, 1816.0, 1183.0, 36.0], shoonya_3sG20I0WAHNC6W, 5686315]
[paragraph, [232.0, 1852.0, 1183.0, 36.0], shoonya_3sG20I0WAHNC6W, 5686315]
[paragraph, [232.0, 1888.0, 1183.0, 36.0], shoonya_3sG20I0WAHNC6W, 5686315]
[paragraph, [232.0, 1924.0, 1183.0, 36.0], shoonya_3sG20I0WAHNC6W, 5686315]
[paragraph, [232.0, 1960.0, 1183.0, 36.0], shoonya_3sG20I0WAHNC6W, 5686315]
[paragraph, [232.0, 1996.0, 1183.0, 36.0], shoonya_3sG20I0WAHNC6W, 5686315]
