[1754, 1241]
[folio, [210.0, 147.0, 895.0, 36.0], HszRHquDch, 6475455]
[folio, [210.0, 183.0, 895.0, 36.0], HszRHquDch, 6475455]
[paragraph, [187.0, 284.0, 935.0, 36.0], shoonya_0s1PO793MJ5WKM, 6475455]
[paragraph, [187.0, 320.0, 935.0, 36.0], shoonya_0s1PO793MJ5WKM, 6475455]
[paragraph, [187.0, 356.0, 935.0, 36.0], shoonya_0s1PO793MJ5WKM, 6475455]
[paragraph, [187.0, 392.0, 935.0, 36.0], shoonya_0s1PO793MJ5WKM, 6475455]
[paragraph, [187.0, 428.0, 935.0, 36.0], shoonya_0s1PO793MJ5WKM, 6475455]
[paragraph, [187.0, 464.0, 935.0, 36.0], shoonya_0s1PO793MJ5WKM, 6475455]
[paragraph, [187.0, 500.0, 935.0, 36.0], shoonya_0s1PO793MJ5WKM, 6475455]
[section-title, [594.0, 583.0, 116.0, 49.5], lWSBpePWG6, 6475455]
[ordered-list, [186.0, 722.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 758.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 794.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 830.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 866.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 902.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 938.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 974.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1010.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1046.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1082.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1118.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1154.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1190.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1226.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1262.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1298.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1334.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1370.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1406.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1442.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1478.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1514.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[ordered-list, [186.0, 1550.0, 990.0, 36.0], hG4Gqr9HJq, 6475455]
[sub-ordered-list, [311.0, 959.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 995.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1031.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1067.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1103.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1139.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1175.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1211.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1247.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1283.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1319.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1355.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1391.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1427.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1463.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1499.0, 820.0, 36.0], 59smiusM8j, 6475455]
[sub-ordered-list, [311.0, 1535.0, 820.0, 36.0], 59smiusM8j, 6475455]
