[671, 419]
[folio, [162.0, 13.0, 91.0, 18.0], xKo18U7wOT, 5748593]
[paragraph, [16.0, 44.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 62.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 80.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 98.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 116.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 134.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 152.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 170.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 188.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 206.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 224.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 242.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 260.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 278.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 296.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [16.0, 314.0, 388.0, 18.0], shoonya_0s0M8NS72LWY4S, 5748593]
[paragraph, [18.0, 338.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 356.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 374.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 392.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 410.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 428.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 446.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 464.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 482.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 500.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 518.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 536.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 554.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 572.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 590.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
[paragraph, [18.0, 608.0, 383.0, 18.0], HiTVy4_ekH, 5748593]
