[2200, 1700]
[paragraph, [310.0, 70.0, 1115.0, 36.0], shoonya_2s53AM9EC1W9BC, 5731379]
[paragraph, [310.0, 106.0, 1115.0, 36.0], shoonya_2s53AM9EC1W9BC, 5731379]
[paragraph, [310.0, 142.0, 1115.0, 36.0], shoonya_2s53AM9EC1W9BC, 5731379]
[paragraph, [310.0, 178.0, 1115.0, 36.0], shoonya_2s53AM9EC1W9BC, 5731379]
[paragraph, [310.0, 214.0, 1115.0, 36.0], shoonya_2s53AM9EC1W9BC, 5731379]
[paragraph, [310.0, 250.0, 1115.0, 36.0], shoonya_2s53AM9EC1W9BC, 5731379]
[paragraph, [310.0, 286.0, 1115.0, 36.0], shoonya_2s53AM9EC1W9BC, 5731379]
[paragraph, [310.0, 322.0, 1115.0, 36.0], shoonya_2s53AM9EC1W9BC, 5731379]
[paragraph, [310.0, 358.0, 1115.0, 36.0], shoonya_2s53AM9EC1W9BC, 5731379]
[paragraph, [312.0, 422.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 458.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 494.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 530.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 566.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 602.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 638.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 674.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 710.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 746.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 782.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 818.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 854.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 890.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [312.0, 926.0, 1095.0, 36.0], shoonya_1sWCF14FKIGB6J, 5731379]
[paragraph, [300.0, 1013.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1049.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1085.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1121.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1157.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1193.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1229.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1265.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1301.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1337.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1373.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1409.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1445.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1481.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1517.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1553.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1589.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1625.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1661.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1697.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1733.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1769.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1805.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1841.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[paragraph, [300.0, 1877.0, 1104.0, 36.0], shoonya_0sK9URTLXU5GVQ, 5731379]
[folio, [422.0, 2013.0, 365.0, 36.0], 68WZ7g7YrE, 5731379]
