[1162, 749]
[folio, [342.0, 75.0, 82.0, 18.0], shoonya_5sX1SAZ1H241UL, 5700068]
[paragraph, [102.0, 118.0, 560.0, 18.0], shoonya_4s0Z1B30DSB4HJ, 5700068]
[paragraph, [102.0, 136.0, 560.0, 18.0], shoonya_4s0Z1B30DSB4HJ, 5700068]
[paragraph, [102.0, 154.0, 560.0, 18.0], shoonya_4s0Z1B30DSB4HJ, 5700068]
[paragraph, [102.0, 172.0, 560.0, 18.0], shoonya_4s0Z1B30DSB4HJ, 5700068]
[paragraph, [102.0, 190.0, 560.0, 18.0], shoonya_4s0Z1B30DSB4HJ, 5700068]
[paragraph, [90.0, 230.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [90.0, 248.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [90.0, 266.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [90.0, 284.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [90.0, 302.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [90.0, 320.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [90.0, 338.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [90.0, 356.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [90.0, 374.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [90.0, 392.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [90.0, 410.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [90.0, 428.0, 570.0, 18.0], shoonya_0s2DDSQINQH3ZJ, 5700068]
[paragraph, [92.0, 469.0, 571.0, 18.0], shoonya_1sH9TM3W72KQPL, 5700068]
[paragraph, [92.0, 487.0, 571.0, 18.0], shoonya_1sH9TM3W72KQPL, 5700068]
[paragraph, [92.0, 505.0, 571.0, 18.0], shoonya_1sH9TM3W72KQPL, 5700068]
[paragraph, [92.0, 523.0, 571.0, 18.0], shoonya_1sH9TM3W72KQPL, 5700068]
[paragraph, [92.0, 541.0, 571.0, 18.0], shoonya_1sH9TM3W72KQPL, 5700068]
[paragraph, [92.0, 559.0, 571.0, 18.0], shoonya_1sH9TM3W72KQPL, 5700068]
[paragraph, [92.0, 577.0, 571.0, 18.0], shoonya_1sH9TM3W72KQPL, 5700068]
[paragraph, [92.0, 595.0, 571.0, 18.0], shoonya_1sH9TM3W72KQPL, 5700068]
[paragraph, [92.0, 613.0, 571.0, 18.0], shoonya_1sH9TM3W72KQPL, 5700068]
[paragraph, [92.0, 631.0, 571.0, 18.0], shoonya_1sH9TM3W72KQPL, 5700068]
[paragraph, [92.0, 649.0, 571.0, 18.0], shoonya_1sH9TM3W72KQPL, 5700068]
[paragraph, [94.0, 687.0, 567.0, 18.0], shoonya_3sASEFIW93HO1E, 5700068]
[paragraph, [94.0, 705.0, 567.0, 18.0], shoonya_3sASEFIW93HO1E, 5700068]
[paragraph, [94.0, 723.0, 567.0, 18.0], shoonya_3sASEFIW93HO1E, 5700068]
[paragraph, [94.0, 741.0, 567.0, 18.0], shoonya_3sASEFIW93HO1E, 5700068]
[paragraph, [94.0, 759.0, 567.0, 18.0], shoonya_3sASEFIW93HO1E, 5700068]
[paragraph, [94.0, 777.0, 567.0, 18.0], shoonya_3sASEFIW93HO1E, 5700068]
[paragraph, [92.0, 800.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 818.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 836.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 854.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 872.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 890.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 908.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 926.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 944.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 962.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 980.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 998.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 1016.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 1034.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
[paragraph, [92.0, 1052.0, 586.0, 18.0], shoonya_2sRGE56UACTCZD, 5700068]
