[2339, 1653]
[paragraph, [250.0, 249.0, 1157.0, 36.0], shoonya_4s5WSKB2QP4SCD, 5686455]
[paragraph, [250.0, 285.0, 1157.0, 36.0], shoonya_4s5WSKB2QP4SCD, 5686455]
[paragraph, [250.0, 321.0, 1157.0, 36.0], shoonya_4s5WSKB2QP4SCD, 5686455]
[paragraph, [250.0, 357.0, 1157.0, 36.0], shoonya_4s5WSKB2QP4SCD, 5686455]
[paragraph, [249.0, 445.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [249.0, 481.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [249.0, 517.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [249.0, 553.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [249.0, 589.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [249.0, 625.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [249.0, 661.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [249.0, 697.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [249.0, 733.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [249.0, 769.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [249.0, 805.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [249.0, 841.0, 1157.0, 36.0], shoonya_0sRB27WJPA8LX0, 5686455]
[paragraph, [251.0, 911.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 947.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 983.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 1019.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 1055.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 1091.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 1127.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 1163.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 1199.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 1235.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 1271.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 1307.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 1343.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [251.0, 1379.0, 1155.0, 36.0], shoonya_1s7XQJRCXCBC9A, 5686455]
[paragraph, [249.0, 1443.0, 1155.0, 36.0], shoonya_3sJ3CDHM7PCX4U, 5686455]
[paragraph, [249.0, 1479.0, 1155.0, 36.0], shoonya_3sJ3CDHM7PCX4U, 5686455]
[paragraph, [249.0, 1515.0, 1155.0, 36.0], shoonya_3sJ3CDHM7PCX4U, 5686455]
[paragraph, [249.0, 1551.0, 1155.0, 36.0], shoonya_3sJ3CDHM7PCX4U, 5686455]
[paragraph, [249.0, 1587.0, 1155.0, 36.0], shoonya_3sJ3CDHM7PCX4U, 5686455]
[paragraph, [249.0, 1623.0, 1155.0, 36.0], shoonya_3sJ3CDHM7PCX4U, 5686455]
[paragraph, [249.0, 1659.0, 1155.0, 36.0], shoonya_3sJ3CDHM7PCX4U, 5686455]
[paragraph, [249.0, 1714.0, 1162.0, 36.0], shoonya_2sJROMZT11DPDA, 5686455]
[paragraph, [249.0, 1750.0, 1162.0, 36.0], shoonya_2sJROMZT11DPDA, 5686455]
[paragraph, [249.0, 1786.0, 1162.0, 36.0], shoonya_2sJROMZT11DPDA, 5686455]
[paragraph, [249.0, 1822.0, 1162.0, 36.0], shoonya_2sJROMZT11DPDA, 5686455]
[paragraph, [249.0, 1858.0, 1162.0, 36.0], shoonya_2sJROMZT11DPDA, 5686455]
[paragraph, [249.0, 1894.0, 1162.0, 36.0], shoonya_2sJROMZT11DPDA, 5686455]
[paragraph, [249.0, 1930.0, 1162.0, 36.0], shoonya_2sJROMZT11DPDA, 5686455]
[paragraph, [249.0, 1966.0, 1162.0, 36.0], shoonya_2sJROMZT11DPDA, 5686455]
[paragraph, [249.0, 2002.0, 1162.0, 36.0], shoonya_2sJROMZT11DPDA, 5686455]
[paragraph, [249.0, 2038.0, 1162.0, 36.0], shoonya_2sJROMZT11DPDA, 5686455]
