[2339, 1653]
[paragraph, [324.0, 161.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 197.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 233.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 269.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 305.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 341.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 377.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 413.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 449.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 485.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 521.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 557.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 593.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 629.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 665.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [324.0, 701.0, 1135.0, 36.0], shoonya_1sZI0NVBZLM5J8, 5733963]
[paragraph, [327.0, 775.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 811.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 847.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 883.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 919.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 955.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 991.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1027.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1063.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1099.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1135.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1171.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1207.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1243.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1279.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1315.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1351.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1387.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1423.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1459.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1495.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1531.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1567.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1603.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1639.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1675.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1711.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1747.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1783.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [327.0, 1819.0, 1142.0, 36.0], shoonya_0sHWTXDLEPAC82, 5733963]
[paragraph, [325.0, 1886.0, 1136.0, 36.0], shoonya_2s5JVYQR8XKQ36, 5733963]
[paragraph, [325.0, 1922.0, 1136.0, 36.0], shoonya_2s5JVYQR8XKQ36, 5733963]
[paragraph, [325.0, 1958.0, 1136.0, 36.0], shoonya_2s5JVYQR8XKQ36, 5733963]
[paragraph, [325.0, 1994.0, 1136.0, 36.0], shoonya_2s5JVYQR8XKQ36, 5733963]
[paragraph, [325.0, 2030.0, 1136.0, 36.0], shoonya_2s5JVYQR8XKQ36, 5733963]
[folio, [809.0, 2154.0, 573.0, 36.0], -DexjxaIqc, 5733963]
