[1755, 1240]
[paragraph, [215.0, 230.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 266.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 302.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 338.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 374.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 410.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 446.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 482.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 518.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 554.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 590.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 626.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 662.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 698.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 734.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 770.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 806.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 842.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 878.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 914.0, 889.0, 36.0], shoonya_1sUVDWYHQ5VHOZ, 5693325]
[paragraph, [215.0, 994.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1030.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1066.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1102.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1138.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1174.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1210.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1246.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1282.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1318.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1354.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1390.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1426.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1462.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
[paragraph, [215.0, 1498.0, 891.0, 36.0], shoonya_0s7YZHM2EY2V3O, 5693325]
