[2484, 1767]
[paragraph, [340.0, 457.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 493.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 529.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 565.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 601.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 637.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 673.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 709.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 745.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 781.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 817.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 853.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 889.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[paragraph, [340.0, 925.0, 1250.0, 36.0], shoonya_0sQJQ3VMX5OFRT, 5753834]
[ordered-list, [331.0, 1030.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1066.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1102.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1138.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1174.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1210.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1246.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1282.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1318.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1354.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1390.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1426.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1462.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1498.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1534.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1570.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1606.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1642.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1678.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1714.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1750.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1786.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1822.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1858.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1894.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1930.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 1966.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 2002.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 2038.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 2074.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 2110.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 2146.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
[ordered-list, [331.0, 2182.0, 1285.0, 36.0], shoonya_3sS6YOUAT8O0X6, 5753834]
