[680, 510]
[section-title, [44.0, 106.0, 422.0, 30.0], shoonya_8s8ES6XGVYCKLJ, 5761372]
[section-title, [44.0, 136.0, 422.0, 30.0], shoonya_8s8ES6XGVYCKLJ, 5761372]
[section-title, [44.0, 166.0, 422.0, 30.0], shoonya_8s8ES6XGVYCKLJ, 5761372]
[author, [194.0, 196.0, 118.0, 18.0], shoonya_4sJ5H5PC7N0M9N, 5761372]
[paragraph, [36.0, 256.0, 438.0, 18.0], shoonya_0sDUGSL8AM5G4D, 5761372]
[paragraph, [36.0, 274.0, 438.0, 18.0], shoonya_0sDUGSL8AM5G4D, 5761372]
[paragraph, [36.0, 292.0, 438.0, 18.0], shoonya_0sDUGSL8AM5G4D, 5761372]
[paragraph, [36.0, 310.0, 438.0, 18.0], shoonya_0sDUGSL8AM5G4D, 5761372]
[paragraph, [36.0, 328.0, 438.0, 18.0], shoonya_0sDUGSL8AM5G4D, 5761372]
[paragraph, [35.0, 358.0, 351.0, 18.0], shoonya_5s9TQ0RPR8VPLY, 5761372]
[paragraph, [258.0, 431.0, 214.0, 18.0], 9g-EmzE4G5, 5761372]
[paragraph, [258.0, 449.0, 214.0, 18.0], 9g-EmzE4G5, 5761372]
[paragraph, [258.0, 467.0, 214.0, 18.0], 9g-EmzE4G5, 5761372]
[paragraph, [37.0, 441.0, 203.0, 18.0], shoonya_3sPCJN0SB8ELCB, 5761372]
[paragraph, [37.0, 459.0, 203.0, 18.0], shoonya_3sPCJN0SB8ELCB, 5761372]
[paragraph, [37.0, 477.0, 203.0, 18.0], shoonya_3sPCJN0SB8ELCB, 5761372]
[paragraph, [256.0, 502.0, 216.0, 18.0], shoonya_7sGNGZ9NUSIM90, 5761372]
[paragraph, [256.0, 520.0, 216.0, 18.0], shoonya_7sGNGZ9NUSIM90, 5761372]
[paragraph, [256.0, 538.0, 216.0, 18.0], shoonya_7sGNGZ9NUSIM90, 5761372]
[paragraph, [256.0, 556.0, 216.0, 18.0], shoonya_7sGNGZ9NUSIM90, 5761372]
[paragraph, [256.0, 574.0, 216.0, 18.0], shoonya_7sGNGZ9NUSIM90, 5761372]
[paragraph, [37.0, 512.0, 216.0, 18.0], -My24YycT3, 5761372]
[paragraph, [37.0, 530.0, 216.0, 18.0], -My24YycT3, 5761372]
[paragraph, [37.0, 548.0, 216.0, 18.0], -My24YycT3, 5761372]
[paragraph, [37.0, 566.0, 216.0, 18.0], -My24YycT3, 5761372]
[footnote, [38.0, 606.0, 419.0, 18.0], tzfN8g26D4, 5761372]
