[1565, 1152]
[paragraph, [115.0, 132.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 168.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 204.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 240.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 276.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 312.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 348.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 384.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 420.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 456.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 492.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 528.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 564.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 600.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 636.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 672.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 708.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 744.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [115.0, 780.0, 427.0, 36.0], shoonya_1sP708TVPSFMCA, 5712381]
[paragraph, [583.0, 168.0, 457.0, 36.0], shoonya_2sW71BQPLMHVH7, 5712381]
[paragraph, [583.0, 204.0, 457.0, 36.0], shoonya_2sW71BQPLMHVH7, 5712381]
[paragraph, [583.0, 240.0, 457.0, 36.0], shoonya_2sW71BQPLMHVH7, 5712381]
[paragraph, [583.0, 276.0, 457.0, 36.0], shoonya_2sW71BQPLMHVH7, 5712381]
[paragraph, [583.0, 312.0, 457.0, 36.0], shoonya_2sW71BQPLMHVH7, 5712381]
[paragraph, [583.0, 348.0, 457.0, 36.0], shoonya_2sW71BQPLMHVH7, 5712381]
[paragraph, [583.0, 425.0, 447.0, 36.0], shoonya_0sNIH5E0SYEM09, 5712381]
[paragraph, [583.0, 461.0, 447.0, 36.0], shoonya_0sNIH5E0SYEM09, 5712381]
[paragraph, [583.0, 497.0, 447.0, 36.0], shoonya_0sNIH5E0SYEM09, 5712381]
[paragraph, [583.0, 533.0, 447.0, 36.0], shoonya_0sNIH5E0SYEM09, 5712381]
[paragraph, [583.0, 569.0, 447.0, 36.0], shoonya_0sNIH5E0SYEM09, 5712381]
[paragraph, [583.0, 605.0, 447.0, 36.0], shoonya_0sNIH5E0SYEM09, 5712381]
[paragraph, [583.0, 641.0, 447.0, 36.0], shoonya_0sNIH5E0SYEM09, 5712381]
[paragraph, [583.0, 683.0, 453.0, 36.0], shoonya_4sMXQW0MOWD3AH, 5712381]
[paragraph, [583.0, 719.0, 453.0, 36.0], shoonya_4sMXQW0MOWD3AH, 5712381]
[paragraph, [583.0, 755.0, 453.0, 36.0], shoonya_4sMXQW0MOWD3AH, 5712381]
[paragraph, [583.0, 791.0, 453.0, 36.0], shoonya_4sMXQW0MOWD3AH, 5712381]
[paragraph, [583.0, 827.0, 453.0, 36.0], shoonya_4sMXQW0MOWD3AH, 5712381]
[paragraph, [115.0, 844.0, 431.0, 36.0], shoonya_5sB86JUD4QWVP0, 5712381]
[paragraph, [115.0, 880.0, 431.0, 36.0], shoonya_5sB86JUD4QWVP0, 5712381]
[paragraph, [115.0, 916.0, 431.0, 36.0], shoonya_5sB86JUD4QWVP0, 5712381]
[paragraph, [115.0, 952.0, 431.0, 36.0], shoonya_5sB86JUD4QWVP0, 5712381]
[paragraph, [115.0, 988.0, 431.0, 36.0], shoonya_5sB86JUD4QWVP0, 5712381]
[paragraph, [115.0, 1024.0, 431.0, 36.0], shoonya_5sB86JUD4QWVP0, 5712381]
[paragraph, [582.0, 892.0, 456.0, 36.0], shoonya_7s53HDVTY7UKCA, 5712381]
[paragraph, [582.0, 928.0, 456.0, 36.0], shoonya_7s53HDVTY7UKCA, 5712381]
[paragraph, [582.0, 964.0, 456.0, 36.0], shoonya_7s53HDVTY7UKCA, 5712381]
[paragraph, [582.0, 1026.0, 437.0, 36.0], shoonya_6sYGMY0RY1SZP8, 5712381]
[paragraph, [582.0, 1062.0, 437.0, 36.0], shoonya_6sYGMY0RY1SZP8, 5712381]
[paragraph, [582.0, 1098.0, 437.0, 36.0], shoonya_6sYGMY0RY1SZP8, 5712381]
[paragraph, [582.0, 1134.0, 437.0, 36.0], shoonya_6sYGMY0RY1SZP8, 5712381]
