[4210, 2977]
[folio, [1008.0, 316.0, 937.0, 52.5], m5wtxmOuWJ, 5698164]
[folio, [1008.0, 368.5, 937.0, 52.5], m5wtxmOuWJ, 5698164]
[folio, [997.0, 462.0, 978.0, 52.5], 9_-Z8cXupk, 5698164]
[paragraph, [268.0, 610.0, 2442.0, 52.5], shoonya_0sBCYZ746EJLR7, 5698164]
[paragraph, [268.0, 662.5, 2442.0, 52.5], shoonya_0sBCYZ746EJLR7, 5698164]
[paragraph, [268.0, 715.0, 2442.0, 52.5], shoonya_0sBCYZ746EJLR7, 5698164]
[paragraph, [268.0, 767.5, 2442.0, 52.5], shoonya_0sBCYZ746EJLR7, 5698164]
[ordered-list, [265.0, 868.0, 2433.0, 52.5], shoonya_1sX5U7W6CQVW0M, 5698164]
[ordered-list, [265.0, 920.5, 2433.0, 52.5], shoonya_1sX5U7W6CQVW0M, 5698164]
[ordered-list, [265.0, 973.0, 2433.0, 52.5], shoonya_1sX5U7W6CQVW0M, 5698164]
[ordered-list, [265.0, 1025.5, 2433.0, 52.5], shoonya_1sX5U7W6CQVW0M, 5698164]
[ordered-list, [265.0, 1078.0, 2433.0, 52.5], shoonya_1sX5U7W6CQVW0M, 5698164]
[ordered-list, [265.0, 1130.5, 2433.0, 52.5], shoonya_1sX5U7W6CQVW0M, 5698164]
[ordered-list, [265.0, 1183.0, 2433.0, 52.5], shoonya_1sX5U7W6CQVW0M, 5698164]
[ordered-list, [265.0, 1235.5, 2433.0, 52.5], shoonya_1sX5U7W6CQVW0M, 5698164]
[ordered-list, [265.0, 1288.0, 2433.0, 52.5], shoonya_1sX5U7W6CQVW0M, 5698164]
[ordered-list, [265.0, 1340.5, 2433.0, 52.5], shoonya_1sX5U7W6CQVW0M, 5698164]
[ordered-list, [272.0, 1567.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 1619.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 1672.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 1724.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 1777.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 1829.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 1882.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 1934.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 1987.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2039.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2092.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2144.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2197.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2249.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2302.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2354.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2407.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2459.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2512.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2564.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2617.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2669.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2722.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2774.5, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
[ordered-list, [272.0, 2827.0, 1160.0, 52.5], shoonya_3sFXPCRX9WX4MX, 5698164]
