[3508, 2481]
[contact-info, [583.0, 108.0, 1310.0, 52.5], ShwfPTpUwA, 6516707]
[contact-info, [583.0, 160.5, 1310.0, 52.5], ShwfPTpUwA, 6516707]
[folio, [711.0, 462.0, 1053.0, 52.5], rD1yi07xxf, 6516707]
[folio, [928.0, 566.0, 623.0, 52.5], Ycpt71da4I, 6516707]
[section-title, [852.0, 679.0, 751.0, 93.0], Lrd-SP5q-v, 6516707]
[folio, [643.0, 936.0, 1186.0, 52.5], Jah41-154S, 6516707]
[dateline, [1950.0, 1187.0, 297.0, 52.5], shoonya_3sQ5Y5VPT7KD81, 6516707]
[paragraph, [223.0, 1451.0, 254.0, 52.5], shoonya_2sWQ89MKTQ6JQK, 6516707]
[paragraph, [223.0, 1567.0, 2036.0, 52.5], shoonya_5sQRH988MZNW5F, 6516707]
[paragraph, [223.0, 1619.5, 2036.0, 52.5], shoonya_5sQRH988MZNW5F, 6516707]
[paragraph, [223.0, 1672.0, 2036.0, 52.5], shoonya_5sQRH988MZNW5F, 6516707]
[paragraph, [223.0, 1724.5, 2036.0, 52.5], shoonya_5sQRH988MZNW5F, 6516707]
[paragraph, [223.0, 1777.0, 2036.0, 52.5], shoonya_5sQRH988MZNW5F, 6516707]
[unordered-list, [294.0, 1974.0, 1965.0, 52.5], shoonya_0sD92GADWRI6BH, 6516707]
[unordered-list, [294.0, 2026.5, 1965.0, 52.5], shoonya_0sD92GADWRI6BH, 6516707]
[unordered-list, [294.0, 2079.0, 1965.0, 52.5], shoonya_0sD92GADWRI6BH, 6516707]
[unordered-list, [294.0, 2131.5, 1965.0, 52.5], shoonya_0sD92GADWRI6BH, 6516707]
[unordered-list, [294.0, 2184.0, 1965.0, 52.5], shoonya_0sD92GADWRI6BH, 6516707]
[unordered-list, [294.0, 2236.5, 1965.0, 52.5], shoonya_0sD92GADWRI6BH, 6516707]
[unordered-list, [294.0, 2289.0, 1965.0, 52.5], shoonya_0sD92GADWRI6BH, 6516707]
[unordered-list, [294.0, 2341.5, 1965.0, 52.5], shoonya_0sD92GADWRI6BH, 6516707]
[unordered-list, [294.0, 2394.0, 1965.0, 52.5], shoonya_0sD92GADWRI6BH, 6516707]
[unordered-list, [294.0, 2446.5, 1965.0, 52.5], shoonya_0sD92GADWRI6BH, 6516707]
[contact-info, [1853.0, 2937.0, 402.0, 52.5], t3m-UXl5zd, 6516707]
[contact-info, [998.0, 3282.0, 477.0, 52.5], shoonya_7sGCKJJNBIKVK7, 6516707]
