[1650, 1275]
[section-title, [79.0, 103.0, 1067.0, 49.5], Wskea2YmDB, 5726257]
[section-title, [79.0, 152.5, 1067.0, 49.5], Wskea2YmDB, 5726257]
[section-title, [79.0, 202.0, 1067.0, 49.5], Wskea2YmDB, 5726257]
[sub-section-title, [196.0, 300.0, 432.0, 36.0], H3STZIxBoe, 5726257]
[ordered-list, [197.0, 352.0, 1022.0, 36.0], shoonya_0sVMSCK0U1IT65, 5726257]
[ordered-list, [197.0, 388.0, 1022.0, 36.0], shoonya_0sVMSCK0U1IT65, 5726257]
[ordered-list, [197.0, 424.0, 1022.0, 36.0], shoonya_0sVMSCK0U1IT65, 5726257]
[ordered-list, [197.0, 460.0, 1022.0, 36.0], shoonya_0sVMSCK0U1IT65, 5726257]
[ordered-list, [197.0, 496.0, 1022.0, 36.0], shoonya_0sVMSCK0U1IT65, 5726257]
[sub-section-title, [157.0, 695.0, 188.0, 36.0], e9PNc4Xd3M, 5726257]
[unordered-list, [159.0, 734.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
[unordered-list, [159.0, 770.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
[unordered-list, [159.0, 806.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
[unordered-list, [159.0, 842.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
[unordered-list, [159.0, 878.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
[unordered-list, [159.0, 914.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
[unordered-list, [159.0, 950.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
[unordered-list, [159.0, 986.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
[unordered-list, [159.0, 1022.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
[unordered-list, [159.0, 1058.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
[unordered-list, [159.0, 1094.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
[unordered-list, [159.0, 1130.0, 1013.0, 36.0], qvXmfpIl4b, 5726257]
