[1650, 1275]
[paragraph, [105.0, 97.0, 547.0, 36.0], shoonya_0sTRLN9BQQR6FT, 5722124]
[paragraph, [105.0, 133.0, 547.0, 36.0], shoonya_0sTRLN9BQQR6FT, 5722124]
[paragraph, [105.0, 169.0, 547.0, 36.0], shoonya_0sTRLN9BQQR6FT, 5722124]
[paragraph, [657.0, 103.0, 498.0, 36.0], RyaYtli8J5, 5722124]
[paragraph, [657.0, 139.0, 498.0, 36.0], RyaYtli8J5, 5722124]
[paragraph, [657.0, 175.0, 498.0, 36.0], RyaYtli8J5, 5722124]
[paragraph, [657.0, 211.0, 498.0, 36.0], RyaYtli8J5, 5722124]
[paragraph, [657.0, 247.0, 498.0, 36.0], RyaYtli8J5, 5722124]
[paragraph, [657.0, 283.0, 498.0, 36.0], RyaYtli8J5, 5722124]
[paragraph, [657.0, 319.0, 498.0, 36.0], RyaYtli8J5, 5722124]
[paragraph, [657.0, 355.0, 498.0, 36.0], RyaYtli8J5, 5722124]
[paragraph, [657.0, 391.0, 498.0, 36.0], RyaYtli8J5, 5722124]
[paragraph, [657.0, 427.0, 498.0, 36.0], RyaYtli8J5, 5722124]
[ordered-list, [101.0, 240.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 276.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 312.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 348.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 384.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 420.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 456.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 492.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 528.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 564.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 600.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 636.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 672.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 708.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 744.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 780.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 816.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 852.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[ordered-list, [101.0, 888.0, 544.0, 36.0], AJDr8AfbKZ, 5722124]
[paragraph, [655.0, 477.0, 499.0, 36.0], zbvsF814tB, 5722124]
[paragraph, [655.0, 513.0, 499.0, 36.0], zbvsF814tB, 5722124]
[paragraph, [655.0, 549.0, 499.0, 36.0], zbvsF814tB, 5722124]
[paragraph, [655.0, 585.0, 499.0, 36.0], zbvsF814tB, 5722124]
[paragraph, [655.0, 621.0, 499.0, 36.0], zbvsF814tB, 5722124]
[paragraph, [655.0, 657.0, 499.0, 36.0], zbvsF814tB, 5722124]
[paragraph, [655.0, 693.0, 499.0, 36.0], zbvsF814tB, 5722124]
[paragraph, [655.0, 729.0, 499.0, 36.0], zbvsF814tB, 5722124]
[paragraph, [655.0, 765.0, 499.0, 36.0], zbvsF814tB, 5722124]
[paragraph, [655.0, 801.0, 499.0, 36.0], zbvsF814tB, 5722124]
[paragraph, [655.0, 837.0, 499.0, 36.0], zbvsF814tB, 5722124]
[paragraph, [655.0, 901.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 937.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 973.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1009.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1045.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1081.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1117.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1153.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1189.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1225.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1261.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1297.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1333.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1369.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1405.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [655.0, 1441.0, 499.0, 36.0], Ew1hfGpWSg, 5722124]
[paragraph, [101.0, 954.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 990.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1026.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1062.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1098.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1134.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1170.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1206.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1242.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1278.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1314.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1350.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1386.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1422.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1458.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [101.0, 1494.0, 547.0, 36.0], EYJCNLh4L6, 5722124]
[paragraph, [655.0, 1481.0, 499.0, 36.0], znA0s5ALwj, 5722124]
