[1987, 1270]
[folio, [580.0, 116.0, 115.0, 36.0], shoonya_0sMWGNYLQZQOTD, 5682976]
[paragraph, [121.0, 187.0, 341.0, 36.0], shoonya_3sMZGSGLD5C0K1, 5682976]
[paragraph, [124.0, 244.0, 1017.0, 36.0], shoonya_4sHEN7ZSXWQUQM, 5682976]
[paragraph, [124.0, 280.0, 1017.0, 36.0], shoonya_4sHEN7ZSXWQUQM, 5682976]
[paragraph, [124.0, 316.0, 1017.0, 36.0], shoonya_4sHEN7ZSXWQUQM, 5682976]
[paragraph, [124.0, 352.0, 1017.0, 36.0], shoonya_4sHEN7ZSXWQUQM, 5682976]
[paragraph, [124.0, 388.0, 1017.0, 36.0], shoonya_4sHEN7ZSXWQUQM, 5682976]
[paragraph, [124.0, 424.0, 1017.0, 36.0], shoonya_4sHEN7ZSXWQUQM, 5682976]
[paragraph, [124.0, 460.0, 1017.0, 36.0], shoonya_4sHEN7ZSXWQUQM, 5682976]
[paragraph, [124.0, 496.0, 1017.0, 36.0], shoonya_4sHEN7ZSXWQUQM, 5682976]
[paragraph, [124.0, 532.0, 1017.0, 36.0], shoonya_4sHEN7ZSXWQUQM, 5682976]
[paragraph, [124.0, 568.0, 1017.0, 36.0], shoonya_4sHEN7ZSXWQUQM, 5682976]
[paragraph, [120.0, 610.0, 1021.0, 36.0], shoonya_5sFNNVRATTF8WI, 5682976]
[paragraph, [120.0, 646.0, 1021.0, 36.0], shoonya_5sFNNVRATTF8WI, 5682976]
[paragraph, [120.0, 682.0, 1021.0, 36.0], shoonya_5sFNNVRATTF8WI, 5682976]
[paragraph, [120.0, 718.0, 1021.0, 36.0], shoonya_5sFNNVRATTF8WI, 5682976]
[paragraph, [120.0, 754.0, 1021.0, 36.0], shoonya_5sFNNVRATTF8WI, 5682976]
[paragraph, [120.0, 790.0, 1021.0, 36.0], shoonya_5sFNNVRATTF8WI, 5682976]
[paragraph, [120.0, 826.0, 1021.0, 36.0], shoonya_5sFNNVRATTF8WI, 5682976]
[paragraph, [111.0, 872.0, 1031.0, 36.0], shoonya_6sG50UW2BL47A6, 5682976]
[paragraph, [111.0, 908.0, 1031.0, 36.0], shoonya_6sG50UW2BL47A6, 5682976]
[paragraph, [111.0, 944.0, 1031.0, 36.0], shoonya_6sG50UW2BL47A6, 5682976]
[paragraph, [111.0, 980.0, 1031.0, 36.0], shoonya_6sG50UW2BL47A6, 5682976]
[paragraph, [111.0, 1016.0, 1031.0, 36.0], shoonya_6sG50UW2BL47A6, 5682976]
[paragraph, [114.0, 1078.0, 1029.0, 36.0], shoonya_7sWH9B942RUJ1E, 5682976]
[paragraph, [114.0, 1114.0, 1029.0, 36.0], shoonya_7sWH9B942RUJ1E, 5682976]
[paragraph, [114.0, 1150.0, 1029.0, 36.0], shoonya_7sWH9B942RUJ1E, 5682976]
[paragraph, [114.0, 1186.0, 1029.0, 36.0], shoonya_7sWH9B942RUJ1E, 5682976]
[paragraph, [114.0, 1222.0, 1029.0, 36.0], shoonya_7sWH9B942RUJ1E, 5682976]
[paragraph, [114.0, 1258.0, 1029.0, 36.0], shoonya_7sWH9B942RUJ1E, 5682976]
[paragraph, [114.0, 1294.0, 1029.0, 36.0], shoonya_7sWH9B942RUJ1E, 5682976]
[paragraph, [111.0, 1340.0, 1028.0, 36.0], shoonya_8s338AGNMIWWC6, 5682976]
[paragraph, [111.0, 1376.0, 1028.0, 36.0], shoonya_8s338AGNMIWWC6, 5682976]
[paragraph, [111.0, 1412.0, 1028.0, 36.0], shoonya_8s338AGNMIWWC6, 5682976]
[paragraph, [111.0, 1448.0, 1028.0, 36.0], shoonya_8s338AGNMIWWC6, 5682976]
[paragraph, [111.0, 1484.0, 1028.0, 36.0], shoonya_8s338AGNMIWWC6, 5682976]
[paragraph, [111.0, 1520.0, 1028.0, 36.0], shoonya_8s338AGNMIWWC6, 5682976]
[paragraph, [111.0, 1556.0, 1028.0, 36.0], shoonya_8s338AGNMIWWC6, 5682976]
[paragraph, [109.0, 1602.0, 1036.0, 36.0], 3s1I2Rvvaf, 5682976]
[paragraph, [109.0, 1638.0, 1036.0, 36.0], 3s1I2Rvvaf, 5682976]
[paragraph, [109.0, 1674.0, 1036.0, 36.0], 3s1I2Rvvaf, 5682976]
[paragraph, [109.0, 1710.0, 1036.0, 36.0], 3s1I2Rvvaf, 5682976]
[paragraph, [109.0, 1760.0, 1039.0, 36.0], 6f-ZK-kVeG, 5682976]
[paragraph, [109.0, 1796.0, 1039.0, 36.0], 6f-ZK-kVeG, 5682976]
[paragraph, [109.0, 1832.0, 1039.0, 36.0], 6f-ZK-kVeG, 5682976]
