[1650, 1275]
[unordered-list, [190.0, 120.0, 726.0, 36.0], shoonya_1sX6ORD34LKTUO, 5774832]
[unordered-list, [190.0, 156.0, 726.0, 36.0], shoonya_1sX6ORD34LKTUO, 5774832]
[unordered-list, [190.0, 192.0, 726.0, 36.0], shoonya_1sX6ORD34LKTUO, 5774832]
[unordered-list, [190.0, 228.0, 726.0, 36.0], shoonya_1sX6ORD34LKTUO, 5774832]
[answer, [143.0, 419.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 455.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 491.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 527.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 563.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 599.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 635.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 671.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 707.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 743.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 779.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 815.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 851.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 887.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 923.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 959.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 995.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 1031.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 1067.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 1103.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 1139.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 1175.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[answer, [143.0, 1211.0, 980.0, 36.0], qSe4YkWKFT, 5774832]
[unordered-list, [188.0, 499.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 535.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 571.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 607.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 643.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 679.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 715.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 751.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 787.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 823.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 859.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 895.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 931.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 967.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 1003.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 1039.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 1075.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 1111.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 1147.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 1183.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[unordered-list, [188.0, 1219.0, 922.0, 36.0], shoonya_0sOM3ZPPCJKAKU, 5774832]
[folio, [135.0, 1571.0, 551.0, 36.0], oCbvx_x0zp, 5774832]
[website-link, [422.0, 1579.0, 248.0, 18.0], x_8ZSIcEPN, 5774832]
