[3300, 2550]
[paragraph, [277.0, 274.0, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 326.5, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 379.0, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 431.5, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 484.0, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 536.5, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 589.0, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 641.5, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 694.0, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 746.5, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 799.0, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 851.5, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 904.0, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 956.5, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 1009.0, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [277.0, 1061.5, 2011.0, 52.5], s_faZ2tEFD, 5720545]
[paragraph, [290.0, 1439.0, 587.0, 52.5], 9IP-TWjC3a, 5720545]
[paragraph, [264.0, 1528.0, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 1580.5, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 1633.0, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 1685.5, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 1738.0, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 1790.5, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 1843.0, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 1895.5, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 1948.0, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 2000.5, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 2053.0, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 2105.5, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 2158.0, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 2210.5, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 2263.0, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 2315.5, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 2368.0, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 2420.5, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 2473.0, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
[paragraph, [264.0, 2525.5, 2019.0, 52.5], shoonya_2sVDB1ZQ3TZA9R, 5720545]
