[3300, 2550]
[ordered-list, [278.0, 405.0, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 457.5, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 510.0, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 562.5, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 615.0, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 667.5, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 720.0, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 772.5, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 825.0, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 877.5, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 930.0, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 982.5, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 1035.0, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 1087.5, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 1140.0, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 1192.5, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 1245.0, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[ordered-list, [278.0, 1297.5, 1993.0, 52.5], shoonya_1s3NEJ02SFI7QZ, 5720107]
[paragraph, [556.0, 1392.0, 1710.0, 52.5], lV-qh4LjP8, 5720107]
[paragraph, [267.0, 1491.0, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 1543.5, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 1596.0, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 1648.5, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 1701.0, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 1753.5, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 1806.0, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 1858.5, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 1911.0, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 1963.5, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 2016.0, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 2068.5, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 2121.0, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 2173.5, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 2226.0, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 2278.5, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 2331.0, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 2383.5, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 2436.0, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 2488.5, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [267.0, 2541.0, 2020.0, 52.5], NbU3hxlP1M, 5720107]
[paragraph, [283.0, 2659.0, 1985.0, 52.5], ZIUveJqMgk, 5720107]
[paragraph, [283.0, 2711.5, 1985.0, 52.5], ZIUveJqMgk, 5720107]
[paragraph, [283.0, 2764.0, 1985.0, 52.5], ZIUveJqMgk, 5720107]
[paragraph, [283.0, 2816.5, 1985.0, 52.5], ZIUveJqMgk, 5720107]
[paragraph, [283.0, 2869.0, 1985.0, 52.5], ZIUveJqMgk, 5720107]
