[720, 504]
[paragraph, [38.0, 111.0, 198.0, 18.0], shoonya_2sAK1F6GWZXM6R, 5650961]
[paragraph, [38.0, 129.0, 198.0, 18.0], shoonya_2sAK1F6GWZXM6R, 5650961]
[paragraph, [38.0, 147.0, 198.0, 18.0], shoonya_2sAK1F6GWZXM6R, 5650961]
[paragraph, [38.0, 165.0, 198.0, 18.0], shoonya_2sAK1F6GWZXM6R, 5650961]
[paragraph, [38.0, 183.0, 198.0, 18.0], shoonya_2sAK1F6GWZXM6R, 5650961]
[paragraph, [38.0, 201.0, 198.0, 18.0], shoonya_2sAK1F6GWZXM6R, 5650961]
[paragraph, [38.0, 219.0, 198.0, 18.0], shoonya_2sAK1F6GWZXM6R, 5650961]
[paragraph, [38.0, 237.0, 198.0, 18.0], shoonya_2sAK1F6GWZXM6R, 5650961]
[paragraph, [38.0, 255.0, 198.0, 18.0], shoonya_2sAK1F6GWZXM6R, 5650961]
[paragraph, [38.0, 273.0, 198.0, 18.0], shoonya_2sAK1F6GWZXM6R, 5650961]
[paragraph, [38.0, 291.0, 198.0, 18.0], shoonya_2sAK1F6GWZXM6R, 5650961]
[paragraph, [249.0, 111.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [249.0, 129.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [249.0, 147.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [249.0, 165.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [249.0, 183.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [249.0, 201.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [249.0, 219.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [249.0, 237.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [249.0, 255.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [249.0, 273.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [249.0, 291.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [249.0, 309.0, 197.0, 18.0], shoonya_1s36JW67U358CS, 5650961]
[paragraph, [44.0, 332.0, 183.0, 18.0], shoonya_3sSEWHWNOP27KH, 5650961]
[paragraph, [44.0, 350.0, 183.0, 18.0], shoonya_3sSEWHWNOP27KH, 5650961]
[paragraph, [44.0, 368.0, 183.0, 18.0], shoonya_3sSEWHWNOP27KH, 5650961]
[paragraph, [44.0, 386.0, 183.0, 18.0], shoonya_3sSEWHWNOP27KH, 5650961]
[paragraph, [44.0, 404.0, 183.0, 18.0], shoonya_3sSEWHWNOP27KH, 5650961]
[paragraph, [44.0, 422.0, 183.0, 18.0], shoonya_3sSEWHWNOP27KH, 5650961]
[paragraph, [44.0, 440.0, 183.0, 18.0], shoonya_3sSEWHWNOP27KH, 5650961]
[paragraph, [44.0, 458.0, 183.0, 18.0], shoonya_3sSEWHWNOP27KH, 5650961]
[paragraph, [44.0, 476.0, 183.0, 18.0], shoonya_3sSEWHWNOP27KH, 5650961]
[paragraph, [44.0, 494.0, 183.0, 18.0], shoonya_3sSEWHWNOP27KH, 5650961]
[paragraph, [248.0, 366.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 384.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 402.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 420.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 438.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 456.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 474.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 492.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 510.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 528.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 546.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 564.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 582.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [248.0, 600.0, 198.0, 18.0], shoonya_0s8JBKXNC7VBX9, 5650961]
[paragraph, [39.0, 521.0, 197.0, 18.0], shoonya_4sAPHHTYF10JXE, 5650961]
[paragraph, [39.0, 539.0, 197.0, 18.0], shoonya_4sAPHHTYF10JXE, 5650961]
[paragraph, [39.0, 557.0, 197.0, 18.0], shoonya_4sAPHHTYF10JXE, 5650961]
[paragraph, [39.0, 575.0, 197.0, 18.0], shoonya_4sAPHHTYF10JXE, 5650961]
[paragraph, [39.0, 593.0, 197.0, 18.0], shoonya_4sAPHHTYF10JXE, 5650961]
[paragraph, [39.0, 611.0, 197.0, 18.0], shoonya_4sAPHHTYF10JXE, 5650961]
