[826, 612]
[folio, [293.0, 114.0, 71.0, 18.0], zJIEf7utNV, 6459851]
[paragraph, [173.0, 155.0, 319.0, 18.0], Y3PXDZunlq, 6459851]
[paragraph, [173.0, 173.0, 319.0, 18.0], Y3PXDZunlq, 6459851]
[paragraph, [173.0, 191.0, 319.0, 18.0], Y3PXDZunlq, 6459851]
[paragraph, [173.0, 209.0, 319.0, 18.0], Y3PXDZunlq, 6459851]
[paragraph, [163.0, 228.0, 332.0, 18.0], yHybLWFe97, 6459851]
[paragraph, [163.0, 246.0, 332.0, 18.0], yHybLWFe97, 6459851]
[paragraph, [163.0, 264.0, 332.0, 18.0], yHybLWFe97, 6459851]
[paragraph, [163.0, 282.0, 332.0, 18.0], yHybLWFe97, 6459851]
[paragraph, [163.0, 300.0, 332.0, 18.0], yHybLWFe97, 6459851]
[paragraph, [163.0, 318.0, 332.0, 18.0], yHybLWFe97, 6459851]
[paragraph, [163.0, 336.0, 332.0, 18.0], yHybLWFe97, 6459851]
[paragraph, [163.0, 354.0, 332.0, 18.0], yHybLWFe97, 6459851]
[paragraph, [163.0, 372.0, 332.0, 18.0], yHybLWFe97, 6459851]
[paragraph, [163.0, 390.0, 332.0, 18.0], yHybLWFe97, 6459851]
[paragraph, [163.0, 408.0, 332.0, 18.0], yHybLWFe97, 6459851]
[paragraph, [165.0, 480.0, 324.0, 18.0], kxn187ELXP, 6459851]
[paragraph, [165.0, 498.0, 324.0, 18.0], kxn187ELXP, 6459851]
[paragraph, [165.0, 516.0, 324.0, 18.0], kxn187ELXP, 6459851]
[paragraph, [165.0, 534.0, 324.0, 18.0], kxn187ELXP, 6459851]
[paragraph, [165.0, 552.0, 324.0, 18.0], kxn187ELXP, 6459851]
[paragraph, [165.0, 570.0, 324.0, 18.0], kxn187ELXP, 6459851]
[paragraph, [165.0, 588.0, 324.0, 18.0], kxn187ELXP, 6459851]
[paragraph, [165.0, 606.0, 324.0, 18.0], kxn187ELXP, 6459851]
[paragraph, [165.0, 624.0, 324.0, 18.0], kxn187ELXP, 6459851]
[paragraph, [165.0, 642.0, 324.0, 18.0], kxn187ELXP, 6459851]
[jumpline, [303.0, 660.0, 54.0, 18.0], wkGm3eG_-v, 6459851]
