[842, 595]
[paragraph, [54.0, 91.0, 241.0, 18.0], shoonya_10s78PNXSXN95P, 5742803]
[paragraph, [302.0, 95.0, 243.0, 18.0], shoonya_5sW4HYXUSTE37T, 5742803]
[paragraph, [302.0, 113.0, 243.0, 18.0], shoonya_5sW4HYXUSTE37T, 5742803]
[paragraph, [53.0, 123.0, 242.0, 18.0], shoonya_0sYKUW73O52ZJ7, 5742803]
[paragraph, [53.0, 141.0, 242.0, 18.0], shoonya_0sYKUW73O52ZJ7, 5742803]
[paragraph, [53.0, 159.0, 242.0, 18.0], shoonya_0sYKUW73O52ZJ7, 5742803]
[paragraph, [53.0, 177.0, 242.0, 18.0], shoonya_0sYKUW73O52ZJ7, 5742803]
[paragraph, [53.0, 195.0, 242.0, 18.0], shoonya_0sYKUW73O52ZJ7, 5742803]
[paragraph, [53.0, 213.0, 242.0, 18.0], shoonya_0sYKUW73O52ZJ7, 5742803]
[paragraph, [53.0, 231.0, 242.0, 18.0], shoonya_0sYKUW73O52ZJ7, 5742803]
[paragraph, [53.0, 249.0, 242.0, 18.0], shoonya_0sYKUW73O52ZJ7, 5742803]
[paragraph, [53.0, 267.0, 242.0, 18.0], shoonya_0sYKUW73O52ZJ7, 5742803]
[paragraph, [301.0, 149.0, 241.0, 18.0], shoonya_19sTXGAYZE1W0P, 5742803]
[paragraph, [301.0, 167.0, 241.0, 18.0], shoonya_19sTXGAYZE1W0P, 5742803]
[paragraph, [300.0, 193.0, 241.0, 18.0], shoonya_18s293GM1JBY60, 5742803]
[paragraph, [300.0, 211.0, 241.0, 18.0], shoonya_18s293GM1JBY60, 5742803]
[paragraph, [301.0, 250.0, 244.0, 18.0], shoonya_16sFFHHIC690FZ, 5742803]
[paragraph, [298.0, 277.0, 244.0, 18.0], shoonya_15sDL3UB29N1UG, 5742803]
[paragraph, [298.0, 295.0, 244.0, 18.0], shoonya_15sDL3UB29N1UG, 5742803]
[paragraph, [55.0, 290.0, 239.0, 18.0], shoonya_11sLI1M7Y75Q8Y, 5742803]
[paragraph, [55.0, 470.0, 239.0, 18.0], shoonya_3sT5ZE0LC4GDX6, 5742803]
[paragraph, [55.0, 488.0, 239.0, 18.0], shoonya_3sT5ZE0LC4GDX6, 5742803]
[paragraph, [55.0, 506.0, 239.0, 18.0], shoonya_3sT5ZE0LC4GDX6, 5742803]
[paragraph, [55.0, 524.0, 239.0, 18.0], shoonya_3sT5ZE0LC4GDX6, 5742803]
[paragraph, [55.0, 542.0, 239.0, 18.0], shoonya_3sT5ZE0LC4GDX6, 5742803]
[paragraph, [301.0, 486.0, 240.0, 18.0], shoonya_12sBDZBBNYY0CA, 5742803]
[paragraph, [301.0, 504.0, 240.0, 18.0], shoonya_12sBDZBBNYY0CA, 5742803]
[paragraph, [301.0, 527.0, 242.0, 18.0], shoonya_9sRIF5V7U4TRZP, 5742803]
[paragraph, [301.0, 545.0, 242.0, 18.0], shoonya_9sRIF5V7U4TRZP, 5742803]
[paragraph, [301.0, 563.0, 242.0, 18.0], shoonya_9sRIF5V7U4TRZP, 5742803]
[paragraph, [301.0, 581.0, 242.0, 18.0], shoonya_9sRIF5V7U4TRZP, 5742803]
[paragraph, [301.0, 599.0, 242.0, 18.0], shoonya_9sRIF5V7U4TRZP, 5742803]
[paragraph, [301.0, 617.0, 242.0, 18.0], shoonya_9sRIF5V7U4TRZP, 5742803]
[paragraph, [301.0, 635.0, 242.0, 18.0], shoonya_9sRIF5V7U4TRZP, 5742803]
[paragraph, [301.0, 653.0, 242.0, 18.0], shoonya_9sRIF5V7U4TRZP, 5742803]
[paragraph, [301.0, 671.0, 242.0, 18.0], shoonya_9sRIF5V7U4TRZP, 5742803]
[paragraph, [301.0, 689.0, 242.0, 18.0], shoonya_9sRIF5V7U4TRZP, 5742803]
[paragraph, [54.0, 571.0, 241.0, 18.0], shoonya_8sSYIKHVS6JS5D, 5742803]
[paragraph, [54.0, 589.0, 241.0, 18.0], shoonya_8sSYIKHVS6JS5D, 5742803]
[paragraph, [54.0, 613.0, 240.0, 18.0], shoonya_13sBRES6EMOBJS, 5742803]
[paragraph, [54.0, 631.0, 240.0, 18.0], shoonya_13sBRES6EMOBJS, 5742803]
[paragraph, [54.0, 656.0, 242.0, 18.0], shoonya_2sCOW2KW7R990S, 5742803]
[paragraph, [54.0, 674.0, 242.0, 18.0], shoonya_2sCOW2KW7R990S, 5742803]
[paragraph, [54.0, 692.0, 242.0, 18.0], shoonya_2sCOW2KW7R990S, 5742803]
[paragraph, [54.0, 710.0, 242.0, 18.0], shoonya_2sCOW2KW7R990S, 5742803]
[paragraph, [301.0, 711.0, 240.0, 18.0], shoonya_4sCFWHKGXN7L0K, 5742803]
[folio, [469.0, 740.0, 76.0, 18.0], shoonya_7sHOJ1FEZKQD3Z, 5742803]
