[2806, 1983]
[paragraph, [225.0, 233.0, 1537.0, 46.5], shoonya_0sBNLEAVAEBALP, 5681991]
[paragraph, [225.0, 279.5, 1537.0, 46.5], shoonya_0sBNLEAVAEBALP, 5681991]
[paragraph, [225.0, 326.0, 1537.0, 46.5], shoonya_0sBNLEAVAEBALP, 5681991]
[paragraph, [225.0, 372.5, 1537.0, 46.5], shoonya_0sBNLEAVAEBALP, 5681991]
[paragraph, [225.0, 419.0, 1537.0, 46.5], shoonya_0sBNLEAVAEBALP, 5681991]
[paragraph, [213.0, 594.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 640.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 687.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 733.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 780.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 826.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 873.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 919.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 966.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1012.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1059.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1105.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1152.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1198.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1245.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1291.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1338.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1384.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1431.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1477.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1524.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1570.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1617.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1663.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1710.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1756.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1803.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1849.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1896.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1942.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 1989.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 2035.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 2082.0, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [213.0, 2128.5, 1551.0, 46.5], nzpI_f77WE, 5681991]
[paragraph, [220.0, 2335.0, 1541.0, 46.5], Dj3gZ9cjog, 5681991]
[paragraph, [220.0, 2381.5, 1541.0, 46.5], Dj3gZ9cjog, 5681991]
[paragraph, [220.0, 2428.0, 1541.0, 46.5], Dj3gZ9cjog, 5681991]
