[2481, 1654]
[folio, [1180.0, 101.0, 146.0, 36.0], YKmHzdOno8, 5721772]
[paragraph, [159.0, 211.0, 1274.0, 36.0], shoonya_1s0LKFFDGA0J9J, 5721772]
[paragraph, [159.0, 247.0, 1274.0, 36.0], shoonya_1s0LKFFDGA0J9J, 5721772]
[paragraph, [159.0, 283.0, 1274.0, 36.0], shoonya_1s0LKFFDGA0J9J, 5721772]
[paragraph, [159.0, 319.0, 1274.0, 36.0], shoonya_1s0LKFFDGA0J9J, 5721772]
[paragraph, [159.0, 355.0, 1274.0, 36.0], shoonya_1s0LKFFDGA0J9J, 5721772]
[paragraph, [223.0, 423.0, 930.0, 36.0], GT8kLW6b_n, 5721772]
[paragraph, [159.0, 473.0, 1279.0, 36.0], dlHKK58wYJ, 5721772]
[paragraph, [159.0, 509.0, 1279.0, 36.0], dlHKK58wYJ, 5721772]
[paragraph, [159.0, 545.0, 1279.0, 36.0], dlHKK58wYJ, 5721772]
[paragraph, [159.0, 581.0, 1279.0, 36.0], dlHKK58wYJ, 5721772]
[paragraph, [159.0, 617.0, 1279.0, 36.0], dlHKK58wYJ, 5721772]
[paragraph, [159.0, 653.0, 1279.0, 36.0], dlHKK58wYJ, 5721772]
[paragraph, [159.0, 689.0, 1279.0, 36.0], dlHKK58wYJ, 5721772]
[paragraph, [157.0, 721.0, 1277.0, 36.0], rxBdwchUXz, 5721772]
[paragraph, [157.0, 757.0, 1277.0, 36.0], rxBdwchUXz, 5721772]
[paragraph, [157.0, 793.0, 1277.0, 36.0], rxBdwchUXz, 5721772]
[paragraph, [157.0, 829.0, 1277.0, 36.0], rxBdwchUXz, 5721772]
[paragraph, [157.0, 865.0, 1277.0, 36.0], rxBdwchUXz, 5721772]
[paragraph, [157.0, 901.0, 1277.0, 36.0], rxBdwchUXz, 5721772]
[paragraph, [157.0, 937.0, 1277.0, 36.0], rxBdwchUXz, 5721772]
[paragraph, [157.0, 973.0, 1277.0, 36.0], rxBdwchUXz, 5721772]
[paragraph, [157.0, 1009.0, 1277.0, 36.0], rxBdwchUXz, 5721772]
[paragraph, [157.0, 1045.0, 1277.0, 36.0], rxBdwchUXz, 5721772]
[paragraph, [157.0, 1081.0, 1277.0, 36.0], rxBdwchUXz, 5721772]
[paragraph, [157.0, 1128.0, 1275.0, 36.0], _EHY89DMT-, 5721772]
[paragraph, [157.0, 1164.0, 1275.0, 36.0], _EHY89DMT-, 5721772]
[paragraph, [159.0, 1228.0, 1269.0, 36.0], Eg413MZUke, 5721772]
[paragraph, [159.0, 1264.0, 1269.0, 36.0], Eg413MZUke, 5721772]
[paragraph, [223.0, 1331.0, 489.0, 36.0], pqD6mUs9fg, 5721772]
[paragraph, [223.0, 1381.0, 192.0, 36.0], 8_a__OiFsi, 5721772]
[paragraph, [219.0, 1430.0, 518.0, 36.0], -tv88gVon8, 5721772]
[paragraph, [219.0, 1482.0, 855.0, 36.0], WQN2t6XE9I, 5721772]
[paragraph, [225.0, 1529.0, 634.0, 36.0], 417X7Kyrrw, 5721772]
[paragraph, [223.0, 1581.0, 411.0, 36.0], kHF12Byhpg, 5721772]
[paragraph, [219.0, 1631.0, 756.0, 36.0], ygFG47fBAy, 5721772]
[paragraph, [167.0, 1680.0, 1269.0, 36.0], cwfoDzfI95, 5721772]
[paragraph, [167.0, 1716.0, 1269.0, 36.0], cwfoDzfI95, 5721772]
[paragraph, [167.0, 1752.0, 1269.0, 36.0], cwfoDzfI95, 5721772]
[paragraph, [167.0, 1788.0, 1269.0, 36.0], cwfoDzfI95, 5721772]
[paragraph, [223.0, 1835.0, 769.0, 36.0], Lj-1tYv2LX, 5721772]
[paragraph, [165.0, 1883.0, 1269.0, 36.0], D5r52xQSGr, 5721772]
[paragraph, [165.0, 1919.0, 1269.0, 36.0], D5r52xQSGr, 5721772]
[paragraph, [159.0, 1984.0, 1275.0, 36.0], 0VsUhE-paz, 5721772]
[paragraph, [159.0, 2020.0, 1275.0, 36.0], 0VsUhE-paz, 5721772]
[paragraph, [163.0, 2088.0, 1271.0, 36.0], Yq1wrDDl5M, 5721772]
[paragraph, [163.0, 2124.0, 1271.0, 36.0], Yq1wrDDl5M, 5721772]
