[792, 612]
[paragraph, [77.0, 1.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 19.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 37.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 55.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 73.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 91.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 109.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 127.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 145.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 163.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 181.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 199.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 217.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 235.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 253.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[paragraph, [77.0, 271.0, 147.0, 18.0], ZrUN7bhtgR, 6516297]
[sidebar, [244.0, 11.0, 285.0, 18.0], 7TGq87Dndk, 6516297]
[sidebar, [244.0, 29.0, 285.0, 18.0], 7TGq87Dndk, 6516297]
[sidebar, [244.0, 47.0, 285.0, 18.0], 7TGq87Dndk, 6516297]
[sidebar, [244.0, 65.0, 285.0, 18.0], 7TGq87Dndk, 6516297]
[sidebar, [244.0, 83.0, 285.0, 18.0], 7TGq87Dndk, 6516297]
[sidebar, [244.0, 101.0, 285.0, 18.0], 7TGq87Dndk, 6516297]
[sidebar, [244.0, 119.0, 285.0, 18.0], 7TGq87Dndk, 6516297]
[sidebar, [244.0, 137.0, 285.0, 18.0], 7TGq87Dndk, 6516297]
[paragraph, [389.0, 166.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 184.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 202.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 220.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 238.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 256.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 274.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 292.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 310.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 328.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 346.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 364.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 382.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 400.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 418.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 436.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [389.0, 454.0, 144.0, 18.0], 0MdpYoRyUm, 6516297]
[paragraph, [232.0, 167.0, 144.0, 18.0], ZYWW23jZoe, 6516297]
[paragraph, [232.0, 185.0, 144.0, 18.0], ZYWW23jZoe, 6516297]
[paragraph, [230.0, 211.0, 148.0, 18.0], l2aicGFlTC, 6516297]
[paragraph, [230.0, 229.0, 148.0, 18.0], l2aicGFlTC, 6516297]
[paragraph, [230.0, 247.0, 148.0, 18.0], l2aicGFlTC, 6516297]
[paragraph, [230.0, 265.0, 148.0, 18.0], l2aicGFlTC, 6516297]
[paragraph, [230.0, 283.0, 148.0, 18.0], l2aicGFlTC, 6516297]
[paragraph, [230.0, 301.0, 148.0, 18.0], l2aicGFlTC, 6516297]
[paragraph, [75.0, 292.0, 148.0, 18.0], sXAoqud1XK, 6516297]
[paragraph, [75.0, 310.0, 148.0, 18.0], sXAoqud1XK, 6516297]
[paragraph, [231.0, 327.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 345.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 363.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 381.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 399.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 417.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 435.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 453.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 471.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 489.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 507.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 525.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 543.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 561.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 579.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [231.0, 597.0, 147.0, 18.0], O66RT2u-2r, 6516297]
[paragraph, [77.0, 335.0, 145.0, 18.0], gqMYBIEr9-, 6516297]
[paragraph, [77.0, 353.0, 145.0, 18.0], gqMYBIEr9-, 6516297]
[paragraph, [77.0, 371.0, 145.0, 18.0], gqMYBIEr9-, 6516297]
[paragraph, [75.0, 407.0, 147.0, 18.0], xEVR9JIHXr, 6516297]
[paragraph, [78.0, 437.0, 144.0, 18.0], 2UCT6u_87w, 6516297]
[paragraph, [78.0, 466.0, 144.0, 18.0], OSUXbT1_tw, 6516297]
[paragraph, [78.0, 484.0, 144.0, 18.0], OSUXbT1_tw, 6516297]
[paragraph, [78.0, 502.0, 144.0, 18.0], OSUXbT1_tw, 6516297]
[paragraph, [78.0, 520.0, 144.0, 18.0], OSUXbT1_tw, 6516297]
[paragraph, [78.0, 538.0, 144.0, 18.0], OSUXbT1_tw, 6516297]
[paragraph, [78.0, 556.0, 144.0, 18.0], OSUXbT1_tw, 6516297]
[paragraph, [78.0, 574.0, 144.0, 18.0], OSUXbT1_tw, 6516297]
[paragraph, [78.0, 592.0, 144.0, 18.0], OSUXbT1_tw, 6516297]
[paragraph, [388.0, 484.0, 146.0, 18.0], 425Wg09C_I, 6516297]
[paragraph, [388.0, 502.0, 146.0, 18.0], 425Wg09C_I, 6516297]
[paragraph, [388.0, 520.0, 146.0, 18.0], 425Wg09C_I, 6516297]
[paragraph, [388.0, 538.0, 146.0, 18.0], 425Wg09C_I, 6516297]
[contact-info, [462.0, 559.0, 74.0, 18.0], YncOZFGTUX, 6516297]
[contact-info, [462.0, 577.0, 74.0, 18.0], YncOZFGTUX, 6516297]
