[2334, 1650]
[paragraph, [311.0, 164.0, 1136.0, 36.0], shoonya_2sVKN81PU0R6N9, 5651489]
[paragraph, [311.0, 200.0, 1136.0, 36.0], shoonya_2sVKN81PU0R6N9, 5651489]
[paragraph, [311.0, 236.0, 1136.0, 36.0], shoonya_2sVKN81PU0R6N9, 5651489]
[paragraph, [311.0, 272.0, 1136.0, 36.0], shoonya_2sVKN81PU0R6N9, 5651489]
[paragraph, [311.0, 308.0, 1136.0, 36.0], shoonya_2sVKN81PU0R6N9, 5651489]
[paragraph, [311.0, 344.0, 1136.0, 36.0], shoonya_2sVKN81PU0R6N9, 5651489]
[paragraph, [324.0, 379.0, 1124.0, 36.0], shoonya_0sU4Y9QWA8OVWJ, 5651489]
[paragraph, [324.0, 415.0, 1124.0, 36.0], shoonya_0sU4Y9QWA8OVWJ, 5651489]
[paragraph, [324.0, 451.0, 1124.0, 36.0], shoonya_0sU4Y9QWA8OVWJ, 5651489]
[paragraph, [324.0, 487.0, 1124.0, 36.0], shoonya_0sU4Y9QWA8OVWJ, 5651489]
[paragraph, [324.0, 523.0, 1124.0, 36.0], shoonya_0sU4Y9QWA8OVWJ, 5651489]
[paragraph, [324.0, 559.0, 1124.0, 36.0], shoonya_0sU4Y9QWA8OVWJ, 5651489]
[paragraph, [334.0, 606.0, 1114.0, 36.0], shoonya_4sGSSKGJ0K5B2P, 5651489]
[paragraph, [334.0, 642.0, 1114.0, 36.0], shoonya_4sGSSKGJ0K5B2P, 5651489]
[paragraph, [334.0, 678.0, 1114.0, 36.0], shoonya_4sGSSKGJ0K5B2P, 5651489]
[paragraph, [334.0, 714.0, 1114.0, 36.0], shoonya_4sGSSKGJ0K5B2P, 5651489]
[paragraph, [334.0, 750.0, 1114.0, 36.0], shoonya_4sGSSKGJ0K5B2P, 5651489]
[paragraph, [334.0, 786.0, 1114.0, 36.0], shoonya_4sGSSKGJ0K5B2P, 5651489]
[paragraph, [334.0, 822.0, 1114.0, 36.0], shoonya_4sGSSKGJ0K5B2P, 5651489]
[paragraph, [334.0, 858.0, 1114.0, 36.0], shoonya_4sGSSKGJ0K5B2P, 5651489]
[paragraph, [345.0, 885.0, 1105.0, 36.0], shoonya_3s3VBH40N0YRCX, 5651489]
[paragraph, [345.0, 921.0, 1105.0, 36.0], shoonya_3s3VBH40N0YRCX, 5651489]
[paragraph, [345.0, 957.0, 1105.0, 36.0], shoonya_3s3VBH40N0YRCX, 5651489]
[paragraph, [345.0, 993.0, 1105.0, 36.0], shoonya_3s3VBH40N0YRCX, 5651489]
[paragraph, [345.0, 1029.0, 1105.0, 36.0], shoonya_3s3VBH40N0YRCX, 5651489]
[paragraph, [345.0, 1065.0, 1105.0, 36.0], shoonya_3s3VBH40N0YRCX, 5651489]
[paragraph, [345.0, 1101.0, 1105.0, 36.0], shoonya_3s3VBH40N0YRCX, 5651489]
[paragraph, [345.0, 1137.0, 1105.0, 36.0], shoonya_3s3VBH40N0YRCX, 5651489]
[paragraph, [345.0, 1173.0, 1105.0, 36.0], shoonya_3s3VBH40N0YRCX, 5651489]
[paragraph, [343.0, 1219.0, 1105.0, 36.0], shoonya_1s9WVMP9KFOEDD, 5651489]
[paragraph, [343.0, 1255.0, 1105.0, 36.0], shoonya_1s9WVMP9KFOEDD, 5651489]
[paragraph, [343.0, 1291.0, 1105.0, 36.0], shoonya_1s9WVMP9KFOEDD, 5651489]
[paragraph, [343.0, 1327.0, 1105.0, 36.0], shoonya_1s9WVMP9KFOEDD, 5651489]
[paragraph, [343.0, 1363.0, 1105.0, 36.0], shoonya_1s9WVMP9KFOEDD, 5651489]
[paragraph, [343.0, 1399.0, 1105.0, 36.0], shoonya_1s9WVMP9KFOEDD, 5651489]
