[2280, 1780]
[folio, [102.0, 55.0, 278.0, 36.0], DkOrTj5fnT, 5755447]
[folio, [1319.0, 135.0, 318.0, 36.0], xZSkm9cdgl, 5755447]
[options, [280.0, 754.0, 1297.0, 36.0], 2hhMXMbVgY, 5755447]
[options, [280.0, 790.0, 1297.0, 36.0], 2hhMXMbVgY, 5755447]
[options, [280.0, 826.0, 1297.0, 36.0], 2hhMXMbVgY, 5755447]
[options, [280.0, 862.0, 1297.0, 36.0], 2hhMXMbVgY, 5755447]
[options, [249.0, 1054.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1090.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1126.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1162.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1198.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1234.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1270.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1306.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1342.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1378.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1414.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1450.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1486.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [249.0, 1522.0, 634.0, 36.0], z20nED9AIQ, 5755447]
[options, [962.0, 1068.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1104.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1140.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1176.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1212.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1248.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1284.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1320.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1356.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1392.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1428.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1464.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[options, [962.0, 1500.0, 653.0, 36.0], shoonya_4sTRA9Z4FHBCBW, 5755447]
[placeholder-text, [1105.0, 1688.0, 195.0, 18.0], ggOCC7-Zwi, 5755447]
[placeholder-text, [1105.0, 1706.0, 195.0, 18.0], ggOCC7-Zwi, 5755447]
[placeholder-text, [1105.0, 1724.0, 195.0, 18.0], ggOCC7-Zwi, 5755447]
[placeholder-text, [1105.0, 1742.0, 195.0, 18.0], ggOCC7-Zwi, 5755447]
[placeholder-text, [1105.0, 1760.0, 195.0, 18.0], ggOCC7-Zwi, 5755447]
[placeholder-text, [1105.0, 1778.0, 195.0, 18.0], ggOCC7-Zwi, 5755447]
[placeholder-text, [1159.0, 1810.0, 189.0, 18.0], nUj1Nmu4k5, 5755447]
[placeholder-text, [1159.0, 1828.0, 189.0, 18.0], nUj1Nmu4k5, 5755447]
[placeholder-text, [1159.0, 1846.0, 189.0, 18.0], nUj1Nmu4k5, 5755447]
[placeholder-text, [1159.0, 1864.0, 189.0, 18.0], nUj1Nmu4k5, 5755447]
[placeholder-text, [1159.0, 1882.0, 189.0, 18.0], nUj1Nmu4k5, 5755447]
[placeholder-text, [812.0, 1946.0, 151.0, 18.0], 13tu0GVhzB, 5755447]
[placeholder-text, [812.0, 1964.0, 151.0, 18.0], 13tu0GVhzB, 5755447]
[placeholder-text, [812.0, 1982.0, 151.0, 18.0], 13tu0GVhzB, 5755447]
[placeholder-text, [812.0, 2000.0, 151.0, 18.0], 13tu0GVhzB, 5755447]
[placeholder-text, [812.0, 2018.0, 151.0, 18.0], 13tu0GVhzB, 5755447]
[placeholder-text, [812.0, 2036.0, 151.0, 18.0], 13tu0GVhzB, 5755447]
[placeholder-text, [1252.0, 1948.0, 153.0, 18.0], HiOisFPzYn, 5755447]
[placeholder-text, [1252.0, 1966.0, 153.0, 18.0], HiOisFPzYn, 5755447]
[placeholder-text, [1252.0, 1984.0, 153.0, 18.0], HiOisFPzYn, 5755447]
[placeholder-text, [1252.0, 2002.0, 153.0, 18.0], HiOisFPzYn, 5755447]
[placeholder-text, [1252.0, 2020.0, 153.0, 18.0], HiOisFPzYn, 5755447]
[placeholder-text, [1252.0, 2038.0, 153.0, 18.0], HiOisFPzYn, 5755447]
