[1527, 1181]
[section-title, [519.0, 141.0, 121.0, 49.5], shoonya_2sHLBMCVR9TED0, 5779698]
[paragraph, [134.0, 347.0, 893.0, 36.0], shoonya_0sN52G86QJGOPV, 5779698]
[paragraph, [134.0, 383.0, 893.0, 36.0], shoonya_0sN52G86QJGOPV, 5779698]
[paragraph, [134.0, 419.0, 893.0, 36.0], shoonya_0sN52G86QJGOPV, 5779698]
[paragraph, [134.0, 455.0, 893.0, 36.0], shoonya_0sN52G86QJGOPV, 5779698]
[paragraph, [134.0, 491.0, 893.0, 36.0], shoonya_0sN52G86QJGOPV, 5779698]
[paragraph, [134.0, 527.0, 893.0, 36.0], shoonya_0sN52G86QJGOPV, 5779698]
[paragraph, [134.0, 563.0, 893.0, 36.0], shoonya_0sN52G86QJGOPV, 5779698]
[ordered-list, [137.0, 716.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 752.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 788.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 824.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 860.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 896.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 932.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 968.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 1004.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 1040.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 1076.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 1112.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[ordered-list, [137.0, 1148.0, 888.0, 36.0], shoonya_1s5LQH7WQCRWTE, 5779698]
[paragraph, [136.0, 1265.0, 891.0, 36.0], shoonya_4s8B0VH0CDIFPJ, 5779698]
[paragraph, [136.0, 1301.0, 891.0, 36.0], shoonya_4s8B0VH0CDIFPJ, 5779698]
