[585, 406]
[paragraph, [53.0, 47.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 65.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 83.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 101.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 119.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 137.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 155.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 173.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 191.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 209.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 227.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 245.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 263.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 281.0, 315.0, 18.0], shoonya_0s3IBML6E0DS43, 6493919]
[paragraph, [53.0, 300.0, 311.0, 18.0], 0oAVNVJ3xS, 6493919]
[paragraph, [53.0, 318.0, 311.0, 18.0], 0oAVNVJ3xS, 6493919]
[paragraph, [53.0, 336.0, 311.0, 18.0], 0oAVNVJ3xS, 6493919]
[paragraph, [53.0, 354.0, 311.0, 18.0], 0oAVNVJ3xS, 6493919]
[paragraph, [53.0, 372.0, 311.0, 18.0], 0oAVNVJ3xS, 6493919]
[paragraph, [53.0, 390.0, 311.0, 18.0], 0oAVNVJ3xS, 6493919]
[paragraph, [53.0, 408.0, 311.0, 18.0], 0oAVNVJ3xS, 6493919]
[paragraph, [53.0, 426.0, 311.0, 18.0], 0oAVNVJ3xS, 6493919]
[paragraph, [56.0, 457.0, 309.0, 18.0], 51XFobd6xU, 6493919]
[paragraph, [56.0, 475.0, 309.0, 18.0], 51XFobd6xU, 6493919]
[paragraph, [56.0, 493.0, 309.0, 18.0], 51XFobd6xU, 6493919]
[paragraph, [56.0, 511.0, 309.0, 18.0], 51XFobd6xU, 6493919]
