[1507, 1065]
[ordered-list, [0.0, 47.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 83.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 119.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 155.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 191.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 227.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 263.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 299.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 335.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 371.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 407.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 443.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 479.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 515.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 551.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 587.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 623.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 659.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 695.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 731.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 767.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 803.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 839.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 875.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 911.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 947.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 983.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 1019.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 1055.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 1091.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 1127.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 1163.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 1199.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 1235.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 1271.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 1307.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 1343.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
[ordered-list, [0.0, 1379.0, 1054.0, 36.0], shoonya_0sZ4YMOSVJKCLU, 5698548]
