[3835, 2318]
[section-title, [880.0, 1291.0, 588.0, 93.0], SwvHk0HT-q, 5720209]
[section-title, [194.0, 1955.0, 1950.0, 93.0], YCggS8c1ge, 5720209]
[paragraph, [86.0, 2207.0, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2259.5, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2312.0, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2364.5, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2417.0, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2469.5, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2522.0, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2574.5, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2627.0, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2679.5, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2732.0, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2784.5, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2837.0, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2889.5, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2942.0, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [86.0, 2994.5, 2155.0, 52.5], DQUR5VOBE_, 5720209]
[paragraph, [95.0, 3125.0, 2149.0, 52.5], cHmNCHOANm, 5720209]
[paragraph, [95.0, 3177.5, 2149.0, 52.5], cHmNCHOANm, 5720209]
[paragraph, [95.0, 3230.0, 2149.0, 52.5], cHmNCHOANm, 5720209]
[paragraph, [95.0, 3282.5, 2149.0, 52.5], cHmNCHOANm, 5720209]
[paragraph, [95.0, 3335.0, 2149.0, 52.5], cHmNCHOANm, 5720209]
[paragraph, [95.0, 3387.5, 2149.0, 52.5], cHmNCHOANm, 5720209]
[paragraph, [95.0, 3440.0, 2149.0, 52.5], cHmNCHOANm, 5720209]
[paragraph, [95.0, 3492.5, 2149.0, 52.5], cHmNCHOANm, 5720209]
