[576, 720]
[chapter-title, [497.0, 80.0, 105.0, 30.0], hROW-VAITe, 6533504]
[paragraph, [397.0, 148.0, 307.0, 18.0], QYt7I2WjXk, 6533504]
[paragraph, [397.0, 166.0, 307.0, 18.0], QYt7I2WjXk, 6533504]
[paragraph, [397.0, 184.0, 307.0, 18.0], QYt7I2WjXk, 6533504]
[paragraph, [397.0, 202.0, 307.0, 18.0], QYt7I2WjXk, 6533504]
[paragraph, [397.0, 220.0, 307.0, 18.0], QYt7I2WjXk, 6533504]
[paragraph, [397.0, 238.0, 307.0, 18.0], QYt7I2WjXk, 6533504]
[paragraph, [390.0, 258.0, 306.0, 18.0], shoonya_0sDPT0G4493MMH, 6533504]
[paragraph, [390.0, 276.0, 306.0, 18.0], shoonya_0sDPT0G4493MMH, 6533504]
[paragraph, [390.0, 294.0, 306.0, 18.0], shoonya_0sDPT0G4493MMH, 6533504]
[paragraph, [390.0, 312.0, 306.0, 18.0], shoonya_0sDPT0G4493MMH, 6533504]
[paragraph, [390.0, 330.0, 306.0, 18.0], shoonya_0sDPT0G4493MMH, 6533504]
[paragraph, [390.0, 348.0, 306.0, 18.0], shoonya_0sDPT0G4493MMH, 6533504]
[paragraph, [390.0, 366.0, 306.0, 18.0], shoonya_0sDPT0G4493MMH, 6533504]
[paragraph, [390.0, 384.0, 306.0, 18.0], shoonya_0sDPT0G4493MMH, 6533504]
[paragraph, [390.0, 402.0, 306.0, 18.0], shoonya_0sDPT0G4493MMH, 6533504]
[paragraph, [387.0, 435.0, 312.0, 18.0], oRhH33tJkv, 6533504]
[paragraph, [387.0, 453.0, 312.0, 18.0], oRhH33tJkv, 6533504]
[paragraph, [387.0, 471.0, 312.0, 18.0], oRhH33tJkv, 6533504]
[paragraph, [387.0, 489.0, 312.0, 18.0], oRhH33tJkv, 6533504]
[paragraph, [386.0, 514.0, 318.0, 18.0], Fzq6aeW8rx, 6533504]
[paragraph, [386.0, 532.0, 318.0, 18.0], Fzq6aeW8rx, 6533504]
