[872, 605]
[section-title, [260.0, 31.0, 101.0, 30.0], GWdOzfvUZL, 6457189]
[folio, [40.0, 32.0, 76.0, 18.0], 8-g4KIzkT3, 6457189]
[paragraph, [304.0, 72.0, 259.0, 18.0], eo5tAk61Q4, 6457189]
[paragraph, [304.0, 90.0, 259.0, 18.0], eo5tAk61Q4, 6457189]
[paragraph, [36.0, 73.0, 264.0, 18.0], shoonya_0s0NYOJABFMFW1, 6457189]
[paragraph, [36.0, 91.0, 264.0, 18.0], shoonya_0s0NYOJABFMFW1, 6457189]
[paragraph, [305.0, 111.0, 255.0, 18.0], VsWT_XRvN0, 6457189]
[paragraph, [305.0, 129.0, 255.0, 18.0], VsWT_XRvN0, 6457189]
[paragraph, [37.0, 121.0, 267.0, 18.0], jL2yN5EBYS, 6457189]
[paragraph, [37.0, 139.0, 267.0, 18.0], jL2yN5EBYS, 6457189]
[paragraph, [304.0, 144.0, 247.0, 18.0], jYqfeUL2N9, 6457189]
[paragraph, [304.0, 162.0, 247.0, 18.0], jYqfeUL2N9, 6457189]
[paragraph, [35.0, 154.0, 249.0, 18.0], rjgt1SGfbR, 6457189]
[paragraph, [35.0, 172.0, 249.0, 18.0], rjgt1SGfbR, 6457189]
[paragraph, [304.0, 185.0, 261.0, 18.0], rPTlbI6oa0, 6457189]
[paragraph, [304.0, 203.0, 261.0, 18.0], rPTlbI6oa0, 6457189]
[paragraph, [36.0, 190.0, 264.0, 18.0], E1as_3VTUb, 6457189]
[paragraph, [36.0, 208.0, 264.0, 18.0], E1as_3VTUb, 6457189]
[paragraph, [304.0, 220.0, 252.0, 18.0], OmWxgqWGlc, 6457189]
[paragraph, [304.0, 238.0, 252.0, 18.0], OmWxgqWGlc, 6457189]
[paragraph, [50.0, 224.0, 232.0, 18.0], VkAM_bP5SL, 6457189]
[paragraph, [39.0, 242.0, 250.0, 18.0], Qt-ySbGbcl, 6457189]
[paragraph, [39.0, 260.0, 250.0, 18.0], Qt-ySbGbcl, 6457189]
[paragraph, [302.0, 254.0, 228.0, 18.0], sG8AL5-leZ, 6457189]
[paragraph, [301.0, 273.0, 264.0, 18.0], FMGBRVGJey, 6457189]
[paragraph, [301.0, 291.0, 264.0, 18.0], FMGBRVGJey, 6457189]
[paragraph, [301.0, 309.0, 264.0, 18.0], FMGBRVGJey, 6457189]
[paragraph, [301.0, 327.0, 264.0, 18.0], FMGBRVGJey, 6457189]
[paragraph, [39.0, 281.0, 261.0, 18.0], dvX1uO1H51, 6457189]
[paragraph, [38.0, 314.0, 263.0, 18.0], AFJTpppUCh, 6457189]
[paragraph, [38.0, 332.0, 263.0, 18.0], AFJTpppUCh, 6457189]
[paragraph, [37.0, 345.0, 246.0, 18.0], jgpW0FmoRw, 6457189]
[paragraph, [37.0, 363.0, 246.0, 18.0], jgpW0FmoRw, 6457189]
[paragraph, [303.0, 361.0, 256.0, 18.0], sKoULYMS70, 6457189]
[paragraph, [303.0, 379.0, 256.0, 18.0], sKoULYMS70, 6457189]
[paragraph, [35.0, 386.0, 235.0, 18.0], z27MUABvva, 6457189]
[paragraph, [35.0, 404.0, 235.0, 18.0], z27MUABvva, 6457189]
[paragraph, [304.0, 393.0, 235.0, 18.0], gCRhEpUDv-, 6457189]
[paragraph, [304.0, 411.0, 235.0, 18.0], gCRhEpUDv-, 6457189]
[paragraph, [39.0, 422.0, 262.0, 18.0], LCb9MxpagV, 6457189]
[paragraph, [39.0, 440.0, 262.0, 18.0], LCb9MxpagV, 6457189]
[paragraph, [39.0, 458.0, 262.0, 18.0], LCb9MxpagV, 6457189]
[paragraph, [302.0, 431.0, 262.0, 18.0], 1fqWDfbmr0, 6457189]
[paragraph, [302.0, 449.0, 262.0, 18.0], 1fqWDfbmr0, 6457189]
[paragraph, [301.0, 467.0, 265.0, 18.0], R4f_pm3s0Z, 6457189]
[paragraph, [301.0, 485.0, 265.0, 18.0], R4f_pm3s0Z, 6457189]
[paragraph, [38.0, 485.0, 263.0, 18.0], JUmiAs8eQ0, 6457189]
[paragraph, [38.0, 503.0, 263.0, 18.0], JUmiAs8eQ0, 6457189]
[paragraph, [38.0, 521.0, 263.0, 18.0], JUmiAs8eQ0, 6457189]
[paragraph, [302.0, 516.0, 262.0, 18.0], HFKP6No3Dy, 6457189]
[paragraph, [302.0, 534.0, 262.0, 18.0], HFKP6No3Dy, 6457189]
[paragraph, [36.0, 553.0, 257.0, 18.0], hqoWHhXo2N, 6457189]
[paragraph, [36.0, 571.0, 257.0, 18.0], hqoWHhXo2N, 6457189]
[paragraph, [303.0, 567.0, 247.0, 18.0], NcobTPSbFk, 6457189]
[paragraph, [303.0, 585.0, 247.0, 18.0], NcobTPSbFk, 6457189]
[paragraph, [37.0, 591.0, 263.0, 18.0], BBj7Hr7JTZ, 6457189]
[paragraph, [37.0, 609.0, 263.0, 18.0], BBj7Hr7JTZ, 6457189]
[paragraph, [316.0, 609.0, 240.0, 18.0], N9ZJyYE66t, 6457189]
[paragraph, [319.0, 626.0, 189.0, 18.0], 2gyJacL1Sf, 6457189]
[paragraph, [37.0, 628.0, 263.0, 18.0], 1enCidj09N, 6457189]
[paragraph, [37.0, 646.0, 263.0, 18.0], 1enCidj09N, 6457189]
[reference, [302.0, 650.0, 266.0, 18.0], iiCnyIaTTZ, 6457189]
[reference, [302.0, 668.0, 266.0, 18.0], iiCnyIaTTZ, 6457189]
[reference, [302.0, 686.0, 266.0, 18.0], iiCnyIaTTZ, 6457189]
[reference, [302.0, 704.0, 266.0, 18.0], iiCnyIaTTZ, 6457189]
[reference, [302.0, 722.0, 266.0, 18.0], iiCnyIaTTZ, 6457189]
[reference, [302.0, 740.0, 266.0, 18.0], iiCnyIaTTZ, 6457189]
[reference, [302.0, 758.0, 266.0, 18.0], iiCnyIaTTZ, 6457189]
[reference, [302.0, 776.0, 266.0, 18.0], iiCnyIaTTZ, 6457189]
[reference, [302.0, 794.0, 266.0, 18.0], iiCnyIaTTZ, 6457189]
[reference, [302.0, 812.0, 266.0, 18.0], iiCnyIaTTZ, 6457189]
[paragraph, [52.0, 678.0, 250.0, 18.0], LeT6EBppYh, 6457189]
[reference, [37.0, 702.0, 266.0, 18.0], sV87x2ENLr, 6457189]
[reference, [37.0, 720.0, 266.0, 18.0], sV87x2ENLr, 6457189]
[reference, [37.0, 738.0, 266.0, 18.0], sV87x2ENLr, 6457189]
[reference, [37.0, 756.0, 266.0, 18.0], sV87x2ENLr, 6457189]
[reference, [37.0, 774.0, 266.0, 18.0], sV87x2ENLr, 6457189]
[reference, [37.0, 792.0, 266.0, 18.0], sV87x2ENLr, 6457189]
