[594, 353]
[folio, [100.0, 14.0, 109.0, 18.0], shoonya_1s00PQMR2KKUZD, 5700998]
[paragraph, [11.0, 43.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 61.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 79.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 97.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 115.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 133.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 151.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 169.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 187.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 205.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 223.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 241.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 259.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 277.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 295.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 313.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 331.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 349.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 367.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 385.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 403.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 421.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 439.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 457.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 475.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 493.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 511.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 529.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
[paragraph, [11.0, 547.0, 338.0, 18.0], shoonya_0s55U3XAWU17G5, 5700998]
