[1806, 1262]
[paragraph, [645.0, 171.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 207.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 243.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 279.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 315.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 351.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 387.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 423.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 459.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 495.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 531.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 567.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 603.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 639.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 675.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 711.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 747.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 783.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [645.0, 819.0, 511.0, 36.0], vmX1Cf1ydw, 5681156]
[paragraph, [103.0, 175.0, 493.0, 36.0], shoonya_3sCPEYURYQVPDR, 5681156]
[paragraph, [103.0, 211.0, 493.0, 36.0], shoonya_3sCPEYURYQVPDR, 5681156]
[paragraph, [103.0, 247.0, 493.0, 36.0], shoonya_3sCPEYURYQVPDR, 5681156]
[paragraph, [103.0, 283.0, 493.0, 36.0], shoonya_3sCPEYURYQVPDR, 5681156]
[paragraph, [103.0, 319.0, 493.0, 36.0], shoonya_3sCPEYURYQVPDR, 5681156]
[paragraph, [103.0, 355.0, 493.0, 36.0], shoonya_3sCPEYURYQVPDR, 5681156]
[paragraph, [103.0, 391.0, 493.0, 36.0], shoonya_3sCPEYURYQVPDR, 5681156]
[paragraph, [103.0, 427.0, 493.0, 36.0], shoonya_3sCPEYURYQVPDR, 5681156]
[paragraph, [98.0, 540.0, 499.0, 36.0], shoonya_5sCN32QPJ0DXI2, 5681156]
