[1601, 1158]
[folio, [1039.0, 80.0, 67.0, 36.0], C5K9LDAyW2, 5695470]
[unordered-list, [137.0, 321.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 357.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 393.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 429.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 465.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 501.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 537.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 573.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 609.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 645.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 681.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 717.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 753.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 789.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 825.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[unordered-list, [137.0, 861.0, 422.0, 36.0], shoonya_5sVJIR6XZGTOBV, 5695470]
[paragraph, [569.0, 326.0, 448.0, 36.0], shoonya_4sCFJJZKZH3KLE, 5695470]
[paragraph, [569.0, 362.0, 448.0, 36.0], shoonya_4sCFJJZKZH3KLE, 5695470]
[paragraph, [569.0, 398.0, 448.0, 36.0], shoonya_4sCFJJZKZH3KLE, 5695470]
[paragraph, [569.0, 451.0, 446.0, 36.0], shoonya_1sRICAE5NPVD3T, 5695470]
[paragraph, [569.0, 487.0, 446.0, 36.0], shoonya_1sRICAE5NPVD3T, 5695470]
[paragraph, [569.0, 523.0, 446.0, 36.0], shoonya_1sRICAE5NPVD3T, 5695470]
[paragraph, [569.0, 559.0, 446.0, 36.0], shoonya_1sRICAE5NPVD3T, 5695470]
[paragraph, [569.0, 595.0, 446.0, 36.0], shoonya_1sRICAE5NPVD3T, 5695470]
[paragraph, [569.0, 631.0, 446.0, 36.0], shoonya_1sRICAE5NPVD3T, 5695470]
[paragraph, [569.0, 667.0, 446.0, 36.0], shoonya_1sRICAE5NPVD3T, 5695470]
[paragraph, [569.0, 703.0, 446.0, 36.0], shoonya_1sRICAE5NPVD3T, 5695470]
[paragraph, [569.0, 739.0, 446.0, 36.0], shoonya_1sRICAE5NPVD3T, 5695470]
[paragraph, [569.0, 775.0, 446.0, 36.0], shoonya_1sRICAE5NPVD3T, 5695470]
[paragraph, [568.0, 824.0, 448.0, 36.0], shoonya_0s9ZFBV5PA6CES, 5695470]
[paragraph, [568.0, 860.0, 448.0, 36.0], shoonya_0s9ZFBV5PA6CES, 5695470]
[paragraph, [568.0, 896.0, 448.0, 36.0], shoonya_0s9ZFBV5PA6CES, 5695470]
[paragraph, [568.0, 932.0, 448.0, 36.0], shoonya_0s9ZFBV5PA6CES, 5695470]
[paragraph, [568.0, 968.0, 448.0, 36.0], shoonya_0s9ZFBV5PA6CES, 5695470]
[paragraph, [568.0, 1004.0, 448.0, 36.0], shoonya_0s9ZFBV5PA6CES, 5695470]
[paragraph, [568.0, 1040.0, 448.0, 36.0], shoonya_0s9ZFBV5PA6CES, 5695470]
[unordered-list, [138.0, 952.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 988.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 1024.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 1060.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 1096.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 1132.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 1168.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 1204.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 1240.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 1276.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 1312.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 1348.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[unordered-list, [138.0, 1384.0, 423.0, 36.0], uHhXwW9BK4, 5695470]
[paragraph, [567.0, 1075.0, 452.0, 36.0], shoonya_6sSY15KKC1NIUJ, 5695470]
[paragraph, [135.0, 1486.0, 429.0, 36.0], cVlhrB7YGa, 5695470]
