[3509, 2480]
[paragraph, [359.0, 374.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 426.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 479.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 531.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 584.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 636.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 689.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 741.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 794.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 846.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 899.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 951.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1004.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1056.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1109.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1161.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1214.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1266.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1319.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1371.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1424.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1476.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1529.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1581.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1634.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1686.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1739.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1791.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1844.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1896.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 1949.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 2001.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 2054.0, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [359.0, 2106.5, 1774.0, 52.5], shoonya_0sZV81V8VQX9WQ, 5723949]
[paragraph, [368.0, 2200.0, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [368.0, 2252.5, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [368.0, 2305.0, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [368.0, 2357.5, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [368.0, 2410.0, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [368.0, 2462.5, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [368.0, 2515.0, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [368.0, 2567.5, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [368.0, 2620.0, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [368.0, 2672.5, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [368.0, 2725.0, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [368.0, 2777.5, 1748.0, 52.5], LnVyZmSFK0, 5723949]
[paragraph, [371.0, 2923.0, 1751.0, 52.5], 3WEdjfUQj1, 5723949]
[paragraph, [371.0, 2975.5, 1751.0, 52.5], 3WEdjfUQj1, 5723949]
[paragraph, [371.0, 3028.0, 1751.0, 52.5], 3WEdjfUQj1, 5723949]
