[1754, 1241]
[ordered-list, [200.0, 139.0, 907.0, 36.0], CnJZK1uThz, 5706958]
[ordered-list, [200.0, 175.0, 907.0, 36.0], CnJZK1uThz, 5706958]
[ordered-list, [200.0, 211.0, 907.0, 36.0], CnJZK1uThz, 5706958]
[ordered-list, [200.0, 247.0, 907.0, 36.0], CnJZK1uThz, 5706958]
[ordered-list, [200.0, 283.0, 907.0, 36.0], CnJZK1uThz, 5706958]
[ordered-list, [200.0, 319.0, 907.0, 36.0], CnJZK1uThz, 5706958]
[ordered-list, [200.0, 355.0, 907.0, 36.0], CnJZK1uThz, 5706958]
[ordered-list, [200.0, 391.0, 907.0, 36.0], CnJZK1uThz, 5706958]
[ordered-list, [133.0, 462.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 498.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 534.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 570.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 606.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 642.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 678.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 714.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 750.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 786.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 822.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 858.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 894.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 930.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 966.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1002.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1038.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1074.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1110.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1146.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1182.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1218.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1254.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1290.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1326.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1362.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1398.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1434.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1470.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1506.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
[ordered-list, [133.0, 1542.0, 967.0, 36.0], NvlvbFgYBX, 5706958]
