[797, 592]
[folio, [77.0, 88.0, 62.0, 18.0], eRvNkmBvjG, 6465667]
[placeholder-text, [72.0, 112.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 130.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 148.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 166.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 184.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 202.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 220.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 238.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 256.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 274.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 292.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 310.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 328.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 346.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 364.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 382.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 400.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 418.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 436.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 454.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 472.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 490.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 508.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 526.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 544.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 562.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 580.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 598.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 616.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 634.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 652.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 670.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 688.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 706.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
[placeholder-text, [72.0, 724.0, 504.0, 18.0], shoonya_0sYB0H0K4ZH0UH, 6465667]
