[2339, 1653]
[paragraph, [325.0, 623.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 659.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 695.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 731.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 767.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 803.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 839.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 875.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 911.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 947.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 983.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1019.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1055.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1091.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1127.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1163.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1199.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1235.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1271.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1307.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1343.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1379.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1415.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1451.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1487.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1523.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1559.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1595.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1631.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1667.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1703.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1739.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1775.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [325.0, 1811.0, 1146.0, 36.0], shoonya_0sFKOLXX05ZG57, 5734375]
[paragraph, [321.0, 1852.0, 1158.0, 36.0], shoonya_1sVFQFCNFYHUQW, 5734375]
[paragraph, [321.0, 1888.0, 1158.0, 36.0], shoonya_1sVFQFCNFYHUQW, 5734375]
[paragraph, [321.0, 1924.0, 1158.0, 36.0], shoonya_1sVFQFCNFYHUQW, 5734375]
[paragraph, [321.0, 1960.0, 1158.0, 36.0], shoonya_1sVFQFCNFYHUQW, 5734375]
[paragraph, [321.0, 1996.0, 1158.0, 36.0], shoonya_1sVFQFCNFYHUQW, 5734375]
[paragraph, [321.0, 2032.0, 1158.0, 36.0], shoonya_1sVFQFCNFYHUQW, 5734375]
[paragraph, [321.0, 2068.0, 1158.0, 36.0], shoonya_1sVFQFCNFYHUQW, 5734375]
