[792, 612]
[folio, [212.0, 24.0, 223.0, 18.0], rnkH_10KEc, 5744285]
[paragraph, [110.0, 56.0, 427.0, 18.0], shoonya_0sRASYZWJ70FOR, 5744285]
[paragraph, [110.0, 74.0, 427.0, 18.0], shoonya_0sRASYZWJ70FOR, 5744285]
[paragraph, [110.0, 92.0, 427.0, 18.0], shoonya_0sRASYZWJ70FOR, 5744285]
[paragraph, [110.0, 110.0, 427.0, 18.0], shoonya_0sRASYZWJ70FOR, 5744285]
[paragraph, [110.0, 128.0, 427.0, 18.0], shoonya_0sRASYZWJ70FOR, 5744285]
[paragraph, [110.0, 146.0, 427.0, 18.0], shoonya_0sRASYZWJ70FOR, 5744285]
[paragraph, [110.0, 164.0, 427.0, 18.0], shoonya_0sRASYZWJ70FOR, 5744285]
[paragraph, [110.0, 182.0, 427.0, 18.0], shoonya_0sRASYZWJ70FOR, 5744285]
[paragraph, [109.0, 211.0, 432.0, 18.0], iPK6tBuqHt, 5744285]
[paragraph, [109.0, 229.0, 432.0, 18.0], iPK6tBuqHt, 5744285]
[paragraph, [109.0, 247.0, 432.0, 18.0], iPK6tBuqHt, 5744285]
[paragraph, [109.0, 265.0, 432.0, 18.0], iPK6tBuqHt, 5744285]
[paragraph, [109.0, 283.0, 432.0, 18.0], iPK6tBuqHt, 5744285]
[paragraph, [109.0, 301.0, 432.0, 18.0], iPK6tBuqHt, 5744285]
[paragraph, [109.0, 319.0, 432.0, 18.0], iPK6tBuqHt, 5744285]
[paragraph, [109.0, 337.0, 432.0, 18.0], iPK6tBuqHt, 5744285]
[paragraph, [106.0, 367.0, 433.0, 18.0], QcBGRCK3MY, 5744285]
[paragraph, [106.0, 385.0, 433.0, 18.0], QcBGRCK3MY, 5744285]
[paragraph, [106.0, 403.0, 433.0, 18.0], QcBGRCK3MY, 5744285]
[paragraph, [106.0, 421.0, 433.0, 18.0], QcBGRCK3MY, 5744285]
[paragraph, [106.0, 439.0, 433.0, 18.0], QcBGRCK3MY, 5744285]
[paragraph, [106.0, 457.0, 433.0, 18.0], QcBGRCK3MY, 5744285]
[paragraph, [106.0, 475.0, 433.0, 18.0], QcBGRCK3MY, 5744285]
[paragraph, [106.0, 493.0, 433.0, 18.0], QcBGRCK3MY, 5744285]
[paragraph, [106.0, 511.0, 433.0, 18.0], QcBGRCK3MY, 5744285]
[paragraph, [106.0, 529.0, 433.0, 18.0], QcBGRCK3MY, 5744285]
[paragraph, [106.0, 547.0, 433.0, 18.0], QcBGRCK3MY, 5744285]
[paragraph, [106.0, 577.0, 437.0, 18.0], n399ilP5kn, 5744285]
[paragraph, [106.0, 595.0, 437.0, 18.0], n399ilP5kn, 5744285]
[paragraph, [106.0, 613.0, 437.0, 18.0], n399ilP5kn, 5744285]
[paragraph, [106.0, 631.0, 437.0, 18.0], n399ilP5kn, 5744285]
[paragraph, [106.0, 649.0, 437.0, 18.0], n399ilP5kn, 5744285]
[paragraph, [106.0, 667.0, 437.0, 18.0], n399ilP5kn, 5744285]
[paragraph, [106.0, 685.0, 437.0, 18.0], n399ilP5kn, 5744285]
[paragraph, [106.0, 703.0, 437.0, 18.0], n399ilP5kn, 5744285]
