[595, 454]
[chapter-title, [274.0, 151.0, 134.0, 30.0], QY3g0PDXZq, 6459729]
[paragraph, [34.0, 199.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [34.0, 217.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [34.0, 235.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [34.0, 253.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [34.0, 271.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [34.0, 289.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [34.0, 307.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [34.0, 325.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [34.0, 343.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [34.0, 361.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [34.0, 379.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [34.0, 397.0, 201.0, 18.0], 8j0TvMjaRC, 6459729]
[paragraph, [235.0, 202.0, 200.0, 18.0], uT6TjRpWLQ, 6459729]
[paragraph, [235.0, 220.0, 200.0, 18.0], uT6TjRpWLQ, 6459729]
[paragraph, [235.0, 238.0, 200.0, 18.0], uT6TjRpWLQ, 6459729]
[paragraph, [235.0, 256.0, 200.0, 18.0], uT6TjRpWLQ, 6459729]
[paragraph, [235.0, 274.0, 200.0, 18.0], uT6TjRpWLQ, 6459729]
[paragraph, [235.0, 292.0, 200.0, 18.0], uT6TjRpWLQ, 6459729]
[paragraph, [235.0, 310.0, 200.0, 18.0], uT6TjRpWLQ, 6459729]
[paragraph, [235.0, 328.0, 200.0, 18.0], uT6TjRpWLQ, 6459729]
[paragraph, [235.0, 346.0, 200.0, 18.0], uT6TjRpWLQ, 6459729]
[paragraph, [235.0, 355.0, 203.0, 18.0], VfCH8hSYYY, 6459729]
[paragraph, [235.0, 373.0, 203.0, 18.0], VfCH8hSYYY, 6459729]
[paragraph, [235.0, 391.0, 203.0, 18.0], VfCH8hSYYY, 6459729]
[paragraph, [235.0, 409.0, 203.0, 18.0], VfCH8hSYYY, 6459729]
[paragraph, [235.0, 427.0, 203.0, 18.0], VfCH8hSYYY, 6459729]
[paragraph, [235.0, 445.0, 203.0, 18.0], VfCH8hSYYY, 6459729]
[paragraph, [235.0, 463.0, 203.0, 18.0], VfCH8hSYYY, 6459729]
[paragraph, [235.0, 481.0, 203.0, 18.0], VfCH8hSYYY, 6459729]
[paragraph, [235.0, 499.0, 203.0, 18.0], VfCH8hSYYY, 6459729]
[paragraph, [235.0, 517.0, 203.0, 18.0], VfCH8hSYYY, 6459729]
[paragraph, [40.0, 418.0, 195.0, 18.0], JCAw3ZlXm2, 6459729]
[paragraph, [40.0, 436.0, 195.0, 18.0], JCAw3ZlXm2, 6459729]
[paragraph, [40.0, 454.0, 195.0, 18.0], JCAw3ZlXm2, 6459729]
[paragraph, [40.0, 472.0, 195.0, 18.0], JCAw3ZlXm2, 6459729]
[paragraph, [42.0, 493.0, 195.0, 18.0], 2JwBz8MHjv, 6459729]
[paragraph, [42.0, 511.0, 195.0, 18.0], 2JwBz8MHjv, 6459729]
[footnote, [130.0, 545.0, 222.0, 18.0], gycYvpoLgb, 6459729]
