[590, 396]
[paragraph, [65.0, 54.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 72.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 90.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 108.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 126.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 144.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 162.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 180.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 198.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 216.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 234.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 252.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 270.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 288.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 306.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 324.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [65.0, 342.0, 301.0, 18.0], shoonya_0sTI7LNF7PY3WL, 6515448]
[paragraph, [66.0, 363.0, 298.0, 18.0], L0zLiiYPNf, 6515448]
[paragraph, [66.0, 381.0, 298.0, 18.0], L0zLiiYPNf, 6515448]
[paragraph, [66.0, 399.0, 298.0, 18.0], L0zLiiYPNf, 6515448]
[paragraph, [66.0, 417.0, 298.0, 18.0], L0zLiiYPNf, 6515448]
[paragraph, [66.0, 435.0, 298.0, 18.0], L0zLiiYPNf, 6515448]
[paragraph, [66.0, 453.0, 298.0, 18.0], L0zLiiYPNf, 6515448]
[paragraph, [66.0, 471.0, 298.0, 18.0], L0zLiiYPNf, 6515448]
[paragraph, [66.0, 489.0, 298.0, 18.0], L0zLiiYPNf, 6515448]
[paragraph, [66.0, 507.0, 298.0, 18.0], L0zLiiYPNf, 6515448]
