[2342, 1678]
[folio, [198.0, 103.0, 395.0, 36.0], 5Ko-EtjVHV, 5657020]
[folio, [198.0, 139.0, 395.0, 36.0], 5Ko-EtjVHV, 5657020]
[folio, [198.0, 175.0, 395.0, 36.0], 5Ko-EtjVHV, 5657020]
[contact-info, [992.0, 118.0, 431.0, 36.0], CnK7U9i7a6, 5657020]
[contact-info, [992.0, 154.0, 431.0, 36.0], CnK7U9i7a6, 5657020]
[contact-info, [851.0, 390.0, 774.0, 36.0], shoonya_6sHJ99TGDTOJHN, 5657020]
[contact-info, [851.0, 426.0, 774.0, 36.0], shoonya_6sHJ99TGDTOJHN, 5657020]
[contact-info, [851.0, 462.0, 774.0, 36.0], shoonya_6sHJ99TGDTOJHN, 5657020]
[contact-info, [851.0, 498.0, 774.0, 36.0], shoonya_6sHJ99TGDTOJHN, 5657020]
[contact-info, [851.0, 534.0, 774.0, 36.0], shoonya_6sHJ99TGDTOJHN, 5657020]
[contact-info, [851.0, 570.0, 774.0, 36.0], shoonya_6sHJ99TGDTOJHN, 5657020]
[paragraph, [96.0, 698.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 734.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 770.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 806.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 842.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 878.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 914.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 950.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 986.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 1022.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 1058.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 1094.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 1130.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 1166.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 1202.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 1238.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [96.0, 1274.0, 1476.0, 36.0], shoonya_0sJCG03VTE2MAT, 5657020]
[paragraph, [112.0, 1331.0, 1453.0, 36.0], shoonya_1sDOEEXFDECG4P, 5657020]
[paragraph, [112.0, 1367.0, 1453.0, 36.0], shoonya_1sDOEEXFDECG4P, 5657020]
[paragraph, [112.0, 1403.0, 1453.0, 36.0], shoonya_1sDOEEXFDECG4P, 5657020]
[paragraph, [112.0, 1439.0, 1453.0, 36.0], shoonya_1sDOEEXFDECG4P, 5657020]
[paragraph, [112.0, 1475.0, 1453.0, 36.0], shoonya_1sDOEEXFDECG4P, 5657020]
[paragraph, [112.0, 1511.0, 1453.0, 36.0], shoonya_1sDOEEXFDECG4P, 5657020]
[paragraph, [112.0, 1547.0, 1453.0, 36.0], shoonya_1sDOEEXFDECG4P, 5657020]
[paragraph, [112.0, 1583.0, 1453.0, 36.0], shoonya_1sDOEEXFDECG4P, 5657020]
[paragraph, [112.0, 1619.0, 1453.0, 36.0], shoonya_1sDOEEXFDECG4P, 5657020]
[paragraph, [112.0, 1655.0, 1453.0, 36.0], shoonya_1sDOEEXFDECG4P, 5657020]
[paragraph, [112.0, 1691.0, 1453.0, 36.0], shoonya_1sDOEEXFDECG4P, 5657020]
[paragraph, [115.0, 1775.0, 1423.0, 36.0], shoonya_3sKW2JO2XY8NV0, 5657020]
[paragraph, [115.0, 1811.0, 1423.0, 36.0], shoonya_3sKW2JO2XY8NV0, 5657020]
[paragraph, [115.0, 1847.0, 1423.0, 36.0], shoonya_3sKW2JO2XY8NV0, 5657020]
[paragraph, [115.0, 1883.0, 1423.0, 36.0], shoonya_3sKW2JO2XY8NV0, 5657020]
[paragraph, [115.0, 1919.0, 1423.0, 36.0], shoonya_3sKW2JO2XY8NV0, 5657020]
[paragraph, [115.0, 1955.0, 1423.0, 36.0], shoonya_3sKW2JO2XY8NV0, 5657020]
[paragraph, [115.0, 1991.0, 1423.0, 36.0], shoonya_3sKW2JO2XY8NV0, 5657020]
[paragraph, [115.0, 2027.0, 1423.0, 36.0], shoonya_3sKW2JO2XY8NV0, 5657020]
