[792, 612]
[paragraph, [51.0, 89.0, 151.0, 18.0], shoonya_1sAIU6EMWK1I70, 6515456]
[paragraph, [51.0, 107.0, 151.0, 18.0], shoonya_1sAIU6EMWK1I70, 6515456]
[paragraph, [51.0, 125.0, 151.0, 18.0], shoonya_1sAIU6EMWK1I70, 6515456]
[paragraph, [51.0, 143.0, 151.0, 18.0], shoonya_1sAIU6EMWK1I70, 6515456]
[paragraph, [230.0, 90.0, 152.0, 18.0], I2ODtB4vnv, 6515456]
[paragraph, [230.0, 108.0, 152.0, 18.0], I2ODtB4vnv, 6515456]
[paragraph, [230.0, 126.0, 152.0, 18.0], I2ODtB4vnv, 6515456]
[paragraph, [230.0, 144.0, 152.0, 18.0], I2ODtB4vnv, 6515456]
[paragraph, [230.0, 162.0, 152.0, 18.0], I2ODtB4vnv, 6515456]
[paragraph, [230.0, 180.0, 152.0, 18.0], I2ODtB4vnv, 6515456]
[paragraph, [230.0, 198.0, 152.0, 18.0], I2ODtB4vnv, 6515456]
[paragraph, [230.0, 216.0, 152.0, 18.0], I2ODtB4vnv, 6515456]
[paragraph, [410.0, 91.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 109.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 127.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 145.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 163.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 181.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 199.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 217.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 235.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 253.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 271.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 289.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [410.0, 307.0, 150.0, 18.0], aVmJDDugjM, 6515456]
[paragraph, [50.0, 175.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 193.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 211.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 229.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 247.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 265.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 283.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 301.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 319.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 337.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 355.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 373.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 391.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 409.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 427.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 445.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 463.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 481.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 499.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 517.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 535.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 553.0, 150.0, 18.0], NWn29iweVL, 6515456]
[paragraph, [50.0, 571.0, 150.0, 18.0], NWn29iweVL, 6515456]
