[2061, 1233]
[paragraph, [99.0, 105.0, 1033.0, 36.0], shoonya_0sWTMIUX2WNX3E, 5692371]
[paragraph, [99.0, 141.0, 1033.0, 36.0], shoonya_0sWTMIUX2WNX3E, 5692371]
[paragraph, [99.0, 177.0, 1033.0, 36.0], shoonya_0sWTMIUX2WNX3E, 5692371]
[paragraph, [99.0, 213.0, 1033.0, 36.0], shoonya_0sWTMIUX2WNX3E, 5692371]
[paragraph, [99.0, 249.0, 1033.0, 36.0], shoonya_0sWTMIUX2WNX3E, 5692371]
[paragraph, [99.0, 285.0, 1033.0, 36.0], shoonya_0sWTMIUX2WNX3E, 5692371]
[paragraph, [99.0, 321.0, 1033.0, 36.0], shoonya_0sWTMIUX2WNX3E, 5692371]
[paragraph, [99.0, 357.0, 1033.0, 36.0], shoonya_0sWTMIUX2WNX3E, 5692371]
[paragraph, [89.0, 406.0, 1055.0, 36.0], CL9G7z4-HI, 5692371]
[paragraph, [89.0, 442.0, 1055.0, 36.0], CL9G7z4-HI, 5692371]
[paragraph, [89.0, 478.0, 1055.0, 36.0], CL9G7z4-HI, 5692371]
[paragraph, [78.0, 517.0, 1080.0, 36.0], rt0ndbW8ad, 5692371]
[paragraph, [78.0, 553.0, 1080.0, 36.0], rt0ndbW8ad, 5692371]
[paragraph, [78.0, 589.0, 1080.0, 36.0], rt0ndbW8ad, 5692371]
[paragraph, [83.0, 635.0, 1057.0, 36.0], u8iMuyH96g, 5692371]
[paragraph, [83.0, 671.0, 1057.0, 36.0], u8iMuyH96g, 5692371]
[paragraph, [83.0, 707.0, 1057.0, 36.0], u8iMuyH96g, 5692371]
[paragraph, [83.0, 743.0, 1057.0, 36.0], u8iMuyH96g, 5692371]
[paragraph, [83.0, 779.0, 1057.0, 36.0], u8iMuyH96g, 5692371]
[paragraph, [83.0, 815.0, 1057.0, 36.0], u8iMuyH96g, 5692371]
[paragraph, [83.0, 851.0, 1057.0, 36.0], u8iMuyH96g, 5692371]
[paragraph, [83.0, 887.0, 1057.0, 36.0], u8iMuyH96g, 5692371]
[paragraph, [83.0, 923.0, 1057.0, 36.0], u8iMuyH96g, 5692371]
[paragraph, [83.0, 959.0, 1057.0, 36.0], u8iMuyH96g, 5692371]
[paragraph, [83.0, 995.0, 1057.0, 36.0], u8iMuyH96g, 5692371]
[paragraph, [86.0, 1031.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1067.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1103.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1139.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1175.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1211.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1247.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1283.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1319.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1355.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1391.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1427.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1463.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [86.0, 1499.0, 1052.0, 36.0], shoonya_1sNLBD482OVVD1, 5692371]
[paragraph, [77.0, 1539.0, 1069.0, 36.0], ac4s4l4wmB, 5692371]
[paragraph, [77.0, 1575.0, 1069.0, 36.0], ac4s4l4wmB, 5692371]
[paragraph, [77.0, 1611.0, 1069.0, 36.0], ac4s4l4wmB, 5692371]
[paragraph, [77.0, 1647.0, 1069.0, 36.0], ac4s4l4wmB, 5692371]
[paragraph, [77.0, 1683.0, 1069.0, 36.0], ac4s4l4wmB, 5692371]
[paragraph, [77.0, 1719.0, 1069.0, 36.0], ac4s4l4wmB, 5692371]
[paragraph, [64.0, 1766.0, 1089.0, 36.0], l6yl1Lf13I, 5692371]
[paragraph, [64.0, 1802.0, 1089.0, 36.0], l6yl1Lf13I, 5692371]
[paragraph, [64.0, 1838.0, 1089.0, 36.0], l6yl1Lf13I, 5692371]
