[792, 717]
[folio, [198.0, 75.0, 192.0, 18.0], shoonya_2sELCJBDZXCG87, 6460323]
[paragraph, [109.0, 122.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 140.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 158.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 176.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 194.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 212.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 230.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 248.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 266.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 284.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 302.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 320.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 338.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 356.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 374.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 392.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 410.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 428.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 446.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 464.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 482.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 500.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 518.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 536.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 554.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 572.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 590.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 608.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 626.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 644.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 662.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 680.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
[paragraph, [109.0, 698.0, 372.0, 18.0], shoonya_0sRZ94RKXRY5B0, 6460323]
