[1763, 1275]
[paragraph, [39.0, 26.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [39.0, 62.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [39.0, 98.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [39.0, 134.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [39.0, 170.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [39.0, 206.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [39.0, 242.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [39.0, 278.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [39.0, 314.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [39.0, 350.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [39.0, 386.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [39.0, 422.0, 620.0, 36.0], shoonya_2sHQOU62MLS4MF, 5712785]
[paragraph, [671.0, 36.0, 369.0, 36.0], kw-7N5p9CJ, 5712785]
[paragraph, [671.0, 72.0, 369.0, 36.0], kw-7N5p9CJ, 5712785]
[paragraph, [671.0, 108.0, 369.0, 36.0], kw-7N5p9CJ, 5712785]
[paragraph, [671.0, 144.0, 369.0, 36.0], kw-7N5p9CJ, 5712785]
[paragraph, [671.0, 180.0, 369.0, 36.0], kw-7N5p9CJ, 5712785]
[paragraph, [671.0, 216.0, 369.0, 36.0], kw-7N5p9CJ, 5712785]
[figure-caption, [1002.0, 285.0, 203.0, 36.0], DHWq-0l7BM, 5712785]
[figure-caption, [1002.0, 321.0, 203.0, 36.0], DHWq-0l7BM, 5712785]
[figure-caption, [1002.0, 357.0, 203.0, 36.0], DHWq-0l7BM, 5712785]
[figure-caption, [1002.0, 393.0, 203.0, 36.0], DHWq-0l7BM, 5712785]
[figure-caption, [1002.0, 429.0, 203.0, 36.0], DHWq-0l7BM, 5712785]
[paragraph, [46.0, 474.0, 608.0, 36.0], Pie9aO3za4, 5712785]
[paragraph, [46.0, 510.0, 608.0, 36.0], Pie9aO3za4, 5712785]
[paragraph, [46.0, 546.0, 608.0, 36.0], Pie9aO3za4, 5712785]
[paragraph, [46.0, 582.0, 608.0, 36.0], Pie9aO3za4, 5712785]
[paragraph, [46.0, 618.0, 608.0, 36.0], Pie9aO3za4, 5712785]
[paragraph, [46.0, 654.0, 608.0, 36.0], Pie9aO3za4, 5712785]
[paragraph, [46.0, 690.0, 608.0, 36.0], Pie9aO3za4, 5712785]
[paragraph, [46.0, 726.0, 608.0, 36.0], Pie9aO3za4, 5712785]
[paragraph, [46.0, 762.0, 608.0, 36.0], Pie9aO3za4, 5712785]
[paragraph, [46.0, 798.0, 608.0, 36.0], Pie9aO3za4, 5712785]
[paragraph, [46.0, 834.0, 608.0, 36.0], Pie9aO3za4, 5712785]
[paragraph, [658.0, 496.0, 597.0, 36.0], shoonya_3sBOLIRL514V71, 5712785]
[paragraph, [658.0, 532.0, 597.0, 36.0], shoonya_3sBOLIRL514V71, 5712785]
[paragraph, [658.0, 568.0, 597.0, 36.0], shoonya_3sBOLIRL514V71, 5712785]
[paragraph, [658.0, 604.0, 597.0, 36.0], shoonya_3sBOLIRL514V71, 5712785]
[paragraph, [658.0, 640.0, 597.0, 36.0], shoonya_3sBOLIRL514V71, 5712785]
[paragraph, [658.0, 676.0, 597.0, 36.0], shoonya_3sBOLIRL514V71, 5712785]
[paragraph, [658.0, 712.0, 597.0, 36.0], shoonya_3sBOLIRL514V71, 5712785]
[paragraph, [658.0, 748.0, 597.0, 36.0], shoonya_3sBOLIRL514V71, 5712785]
[paragraph, [658.0, 784.0, 597.0, 36.0], shoonya_3sBOLIRL514V71, 5712785]
[paragraph, [658.0, 820.0, 597.0, 36.0], shoonya_3sBOLIRL514V71, 5712785]
[paragraph, [663.0, 909.0, 591.0, 36.0], shoonya_5sRG4TRWFR9VYM, 5712785]
[paragraph, [663.0, 945.0, 591.0, 36.0], shoonya_5sRG4TRWFR9VYM, 5712785]
[paragraph, [663.0, 981.0, 591.0, 36.0], shoonya_5sRG4TRWFR9VYM, 5712785]
[paragraph, [663.0, 1017.0, 591.0, 36.0], shoonya_5sRG4TRWFR9VYM, 5712785]
[paragraph, [663.0, 1053.0, 591.0, 36.0], shoonya_5sRG4TRWFR9VYM, 5712785]
[paragraph, [663.0, 1089.0, 591.0, 36.0], shoonya_5sRG4TRWFR9VYM, 5712785]
[paragraph, [663.0, 1125.0, 591.0, 36.0], shoonya_5sRG4TRWFR9VYM, 5712785]
[paragraph, [50.0, 910.0, 604.0, 36.0], gfUjZhCttO, 5712785]
[paragraph, [50.0, 946.0, 604.0, 36.0], gfUjZhCttO, 5712785]
[paragraph, [50.0, 982.0, 604.0, 36.0], gfUjZhCttO, 5712785]
[paragraph, [50.0, 1018.0, 604.0, 36.0], gfUjZhCttO, 5712785]
[paragraph, [50.0, 1054.0, 604.0, 36.0], gfUjZhCttO, 5712785]
[paragraph, [50.0, 1090.0, 604.0, 36.0], gfUjZhCttO, 5712785]
[figure-caption, [249.0, 1162.0, 348.0, 36.0], Q7N2IG5q56, 5712785]
[figure-caption, [249.0, 1198.0, 348.0, 36.0], Q7N2IG5q56, 5712785]
[figure-caption, [249.0, 1234.0, 348.0, 36.0], Q7N2IG5q56, 5712785]
[paragraph, [662.0, 1183.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [662.0, 1219.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [662.0, 1255.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [662.0, 1291.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [662.0, 1327.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [662.0, 1363.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [662.0, 1399.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [662.0, 1435.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [662.0, 1471.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [662.0, 1507.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [662.0, 1543.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [662.0, 1579.0, 593.0, 36.0], shoonya_1sL7U9NDZLMRJ6, 5712785]
[paragraph, [50.0, 1323.0, 612.0, 36.0], LZ42SYDOdA, 5712785]
[paragraph, [50.0, 1359.0, 612.0, 36.0], LZ42SYDOdA, 5712785]
[paragraph, [50.0, 1395.0, 612.0, 36.0], LZ42SYDOdA, 5712785]
[paragraph, [50.0, 1431.0, 612.0, 36.0], LZ42SYDOdA, 5712785]
[paragraph, [55.0, 1498.0, 609.0, 36.0], m1utvLHcac, 5712785]
[paragraph, [55.0, 1534.0, 609.0, 36.0], m1utvLHcac, 5712785]
[paragraph, [55.0, 1570.0, 609.0, 36.0], m1utvLHcac, 5712785]
[paragraph, [55.0, 1606.0, 609.0, 36.0], m1utvLHcac, 5712785]
[folio, [886.0, 1645.0, 294.0, 36.0], XJH_1KUd7y, 5712785]
