[2084, 1289]
[paragraph, [126.0, 266.0, 1026.0, 36.0], GCCbX4v7Bg, 5661169]
[paragraph, [126.0, 302.0, 1026.0, 36.0], GCCbX4v7Bg, 5661169]
[paragraph, [126.0, 338.0, 1026.0, 36.0], GCCbX4v7Bg, 5661169]
[ordered-list, [107.0, 377.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 413.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 449.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 485.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 521.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 557.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 593.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 629.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 665.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 701.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 737.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 773.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 809.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 845.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 881.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 917.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 953.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 989.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 1025.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 1061.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 1097.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 1133.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[ordered-list, [107.0, 1169.0, 1053.0, 36.0], shoonya_3s7O8LYZTUYK1F, 5661169]
[section-title, [445.0, 1239.0, 392.0, 52.5], shoonya_4sJ5SSC34VU8HZ, 5661169]
[paragraph, [142.0, 1324.0, 1024.0, 36.0], shoonya_1sLRSCS2YC0467, 5661169]
[paragraph, [142.0, 1360.0, 1024.0, 36.0], shoonya_1sLRSCS2YC0467, 5661169]
[paragraph, [142.0, 1396.0, 1024.0, 36.0], shoonya_1sLRSCS2YC0467, 5661169]
[paragraph, [142.0, 1432.0, 1024.0, 36.0], shoonya_1sLRSCS2YC0467, 5661169]
[paragraph, [142.0, 1468.0, 1024.0, 36.0], shoonya_1sLRSCS2YC0467, 5661169]
[paragraph, [142.0, 1504.0, 1024.0, 36.0], shoonya_1sLRSCS2YC0467, 5661169]
[paragraph, [144.0, 1583.0, 1023.0, 36.0], shoonya_0sI2ORWL2R7LIL, 5661169]
[paragraph, [144.0, 1619.0, 1023.0, 36.0], shoonya_0sI2ORWL2R7LIL, 5661169]
[paragraph, [144.0, 1655.0, 1023.0, 36.0], shoonya_0sI2ORWL2R7LIL, 5661169]
[paragraph, [144.0, 1691.0, 1023.0, 36.0], shoonya_0sI2ORWL2R7LIL, 5661169]
[paragraph, [144.0, 1727.0, 1023.0, 36.0], shoonya_0sI2ORWL2R7LIL, 5661169]
[paragraph, [144.0, 1763.0, 1023.0, 36.0], shoonya_0sI2ORWL2R7LIL, 5661169]
[paragraph, [144.0, 1799.0, 1023.0, 36.0], shoonya_0sI2ORWL2R7LIL, 5661169]
[paragraph, [144.0, 1835.0, 1023.0, 36.0], shoonya_0sI2ORWL2R7LIL, 5661169]
[folio, [633.0, 1937.0, 655.0, 36.0], shoonya_6s75HDQRQWOJQH, 5661169]
[folio, [633.0, 1973.0, 655.0, 36.0], shoonya_6s75HDQRQWOJQH, 5661169]
