[1518, 1075]
[folio, [546.0, 111.0, 78.0, 36.0], mO-WYqOjBX, 5722829]
[paragraph, [98.0, 162.0, 449.0, 36.0], shoonya_1sFY36N3INZTTX, 5722829]
[paragraph, [98.0, 198.0, 449.0, 36.0], shoonya_1sFY36N3INZTTX, 5722829]
[paragraph, [98.0, 234.0, 449.0, 36.0], shoonya_1sFY36N3INZTTX, 5722829]
[paragraph, [98.0, 270.0, 449.0, 36.0], shoonya_1sFY36N3INZTTX, 5722829]
[paragraph, [98.0, 306.0, 449.0, 36.0], shoonya_1sFY36N3INZTTX, 5722829]
[paragraph, [98.0, 342.0, 449.0, 36.0], shoonya_1sFY36N3INZTTX, 5722829]
[paragraph, [98.0, 378.0, 449.0, 36.0], shoonya_1sFY36N3INZTTX, 5722829]
[paragraph, [98.0, 414.0, 449.0, 36.0], shoonya_1sFY36N3INZTTX, 5722829]
[paragraph, [98.0, 450.0, 449.0, 36.0], shoonya_1sFY36N3INZTTX, 5722829]
[paragraph, [98.0, 486.0, 449.0, 36.0], shoonya_1sFY36N3INZTTX, 5722829]
[paragraph, [98.0, 522.0, 449.0, 36.0], shoonya_1sFY36N3INZTTX, 5722829]
[paragraph, [549.0, 163.0, 445.0, 36.0], shoonya_3sFNRY3P2MVVCT, 5722829]
[paragraph, [549.0, 199.0, 445.0, 36.0], shoonya_3sFNRY3P2MVVCT, 5722829]
[paragraph, [549.0, 235.0, 445.0, 36.0], shoonya_3sFNRY3P2MVVCT, 5722829]
[paragraph, [549.0, 271.0, 445.0, 36.0], shoonya_3sFNRY3P2MVVCT, 5722829]
[paragraph, [549.0, 307.0, 445.0, 36.0], shoonya_3sFNRY3P2MVVCT, 5722829]
[paragraph, [549.0, 343.0, 445.0, 36.0], shoonya_3sFNRY3P2MVVCT, 5722829]
[paragraph, [549.0, 379.0, 445.0, 36.0], shoonya_3sFNRY3P2MVVCT, 5722829]
[paragraph, [549.0, 415.0, 445.0, 36.0], shoonya_3sFNRY3P2MVVCT, 5722829]
[paragraph, [549.0, 451.0, 445.0, 36.0], shoonya_3sFNRY3P2MVVCT, 5722829]
[contact-info, [568.0, 488.0, 403.0, 36.0], AkxFetS2cI, 5722829]
[contact-info, [568.0, 524.0, 403.0, 36.0], AkxFetS2cI, 5722829]
[paragraph, [104.0, 566.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 602.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 638.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 674.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 710.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 746.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 782.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 818.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 854.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 890.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 926.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 962.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 998.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [104.0, 1034.0, 446.0, 36.0], shoonya_0sJHYT9XCUAIN6, 5722829]
[paragraph, [552.0, 646.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 682.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 718.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 754.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 790.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 826.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 862.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 898.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 934.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 970.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 1006.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 1042.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 1078.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 1114.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 1150.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 1186.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[paragraph, [552.0, 1222.0, 444.0, 36.0], shoonya_2sC2PF5EPUJZX8, 5722829]
[contact-info, [108.0, 1121.0, 440.0, 36.0], shoonya_7sC6GKK72MHA3Z, 5722829]
[paragraph, [111.0, 1174.0, 431.0, 36.0], JS6nLPSkXa, 5722829]
[paragraph, [111.0, 1210.0, 431.0, 36.0], JS6nLPSkXa, 5722829]
[paragraph, [563.0, 1275.0, 409.0, 36.0], shoonya_8sWA3VM3HWZSYI, 5722829]
[paragraph, [111.0, 1276.0, 437.0, 36.0], aQEM27rh0Q, 5722829]
[folio, [241.0, 1332.0, 613.0, 36.0], 2Sh79Hqdt9, 5722829]
[folio, [191.0, 1377.0, 427.0, 36.0], shoonya_6sWV3INBEPNEV3, 5722829]
