[792, 612]
[folio, [66.0, 30.0, 54.0, 18.0], suijBKy56P, 6516537]
[headline, [52.0, 79.0, 430.0, 25.5], aGGzv2BBDC, 6516537]
[headline, [52.0, 104.5, 430.0, 25.5], aGGzv2BBDC, 6516537]
[sub-headline, [51.0, 143.0, 327.0, 25.5], 8_m6tzBgIq, 6516537]
[paragraph, [53.0, 229.0, 161.0, 18.0], Lfnsb1fUG5, 6516537]
[paragraph, [53.0, 247.0, 161.0, 18.0], Lfnsb1fUG5, 6516537]
[paragraph, [53.0, 265.0, 161.0, 18.0], Lfnsb1fUG5, 6516537]
[paragraph, [53.0, 283.0, 161.0, 18.0], Lfnsb1fUG5, 6516537]
[paragraph, [53.0, 301.0, 161.0, 18.0], Lfnsb1fUG5, 6516537]
[paragraph, [53.0, 319.0, 161.0, 18.0], Lfnsb1fUG5, 6516537]
[paragraph, [53.0, 337.0, 161.0, 18.0], Lfnsb1fUG5, 6516537]
[paragraph, [53.0, 355.0, 161.0, 18.0], Lfnsb1fUG5, 6516537]
[paragraph, [53.0, 373.0, 161.0, 18.0], Lfnsb1fUG5, 6516537]
[paragraph, [53.0, 391.0, 161.0, 18.0], Lfnsb1fUG5, 6516537]
[paragraph, [52.0, 422.0, 165.0, 18.0], YsdiD0X3l7, 6516537]
[paragraph, [52.0, 440.0, 165.0, 18.0], YsdiD0X3l7, 6516537]
[paragraph, [395.0, 433.0, 163.0, 18.0], oj5HelNuGL, 6516537]
[paragraph, [395.0, 451.0, 163.0, 18.0], oj5HelNuGL, 6516537]
[paragraph, [395.0, 469.0, 163.0, 18.0], oj5HelNuGL, 6516537]
[paragraph, [395.0, 487.0, 163.0, 18.0], oj5HelNuGL, 6516537]
[paragraph, [395.0, 505.0, 163.0, 18.0], oj5HelNuGL, 6516537]
[paragraph, [395.0, 523.0, 163.0, 18.0], oj5HelNuGL, 6516537]
[paragraph, [395.0, 541.0, 163.0, 18.0], oj5HelNuGL, 6516537]
[paragraph, [395.0, 559.0, 163.0, 18.0], oj5HelNuGL, 6516537]
[sidebar, [226.0, 440.0, 154.0, 18.0], jC1LX0TNBH, 6516537]
[sidebar, [226.0, 458.0, 154.0, 18.0], jC1LX0TNBH, 6516537]
[sidebar, [226.0, 476.0, 154.0, 18.0], jC1LX0TNBH, 6516537]
[paragraph, [55.0, 471.0, 161.0, 18.0], 9-IXMpUKs1, 6516537]
[paragraph, [55.0, 489.0, 161.0, 18.0], 9-IXMpUKs1, 6516537]
[paragraph, [55.0, 507.0, 161.0, 18.0], 9-IXMpUKs1, 6516537]
[paragraph, [55.0, 525.0, 161.0, 18.0], 9-IXMpUKs1, 6516537]
[paragraph, [55.0, 543.0, 161.0, 18.0], 9-IXMpUKs1, 6516537]
[paragraph, [55.0, 561.0, 161.0, 18.0], 9-IXMpUKs1, 6516537]
[paragraph, [55.0, 579.0, 161.0, 18.0], 9-IXMpUKs1, 6516537]
[paragraph, [222.0, 528.0, 163.0, 18.0], fzncL3V34J, 6516537]
[paragraph, [222.0, 546.0, 163.0, 18.0], fzncL3V34J, 6516537]
[paragraph, [222.0, 564.0, 163.0, 18.0], fzncL3V34J, 6516537]
[paragraph, [222.0, 582.0, 163.0, 18.0], fzncL3V34J, 6516537]
[paragraph, [222.0, 600.0, 163.0, 18.0], fzncL3V34J, 6516537]
[paragraph, [390.0, 578.0, 166.0, 18.0], luFkvglczD, 6516537]
[paragraph, [390.0, 596.0, 166.0, 18.0], luFkvglczD, 6516537]
[paragraph, [390.0, 614.0, 166.0, 18.0], luFkvglczD, 6516537]
[paragraph, [55.0, 602.0, 161.0, 18.0], zQbyn72EeX, 6516537]
[paragraph, [55.0, 620.0, 161.0, 18.0], zQbyn72EeX, 6516537]
[paragraph, [55.0, 638.0, 161.0, 18.0], zQbyn72EeX, 6516537]
[paragraph, [55.0, 656.0, 161.0, 18.0], zQbyn72EeX, 6516537]
[paragraph, [55.0, 674.0, 161.0, 18.0], zQbyn72EeX, 6516537]
[paragraph, [55.0, 692.0, 161.0, 18.0], zQbyn72EeX, 6516537]
[paragraph, [55.0, 710.0, 161.0, 18.0], zQbyn72EeX, 6516537]
[paragraph, [55.0, 728.0, 161.0, 18.0], zQbyn72EeX, 6516537]
[paragraph, [223.0, 627.0, 163.0, 18.0], K2OXTUzIDl, 6516537]
[paragraph, [223.0, 645.0, 163.0, 18.0], K2OXTUzIDl, 6516537]
[paragraph, [223.0, 663.0, 163.0, 18.0], K2OXTUzIDl, 6516537]
[paragraph, [392.0, 638.0, 162.0, 18.0], FrB-4cTLPC, 6516537]
[paragraph, [392.0, 656.0, 162.0, 18.0], FrB-4cTLPC, 6516537]
[paragraph, [392.0, 674.0, 162.0, 18.0], FrB-4cTLPC, 6516537]
[paragraph, [225.0, 686.0, 159.0, 18.0], kXbwosm5rP, 6516537]
[paragraph, [225.0, 704.0, 159.0, 18.0], kXbwosm5rP, 6516537]
[paragraph, [225.0, 722.0, 159.0, 18.0], kXbwosm5rP, 6516537]
[paragraph, [390.0, 697.0, 171.0, 18.0], aT48GNEy34, 6516537]
[paragraph, [390.0, 715.0, 171.0, 18.0], aT48GNEy34, 6516537]
