[1050, 693]
[folio, [82.0, 78.0, 87.0, 18.0], shoonya_0sMTJDT1FZY0HC, 5702097]
[folio, [82.0, 96.0, 87.0, 18.0], shoonya_0sMTJDT1FZY0HC, 5702097]
[paragraph, [81.0, 125.0, 529.0, 18.0], shoonya_1sIXUM11E0XHWA, 5702097]
[paragraph, [81.0, 143.0, 529.0, 18.0], shoonya_1sIXUM11E0XHWA, 5702097]
[paragraph, [81.0, 161.0, 529.0, 18.0], shoonya_1sIXUM11E0XHWA, 5702097]
[paragraph, [80.0, 190.0, 529.0, 18.0], shoonya_2s3RXF8DVX25H4, 5702097]
[paragraph, [80.0, 208.0, 529.0, 18.0], shoonya_2s3RXF8DVX25H4, 5702097]
[paragraph, [80.0, 226.0, 529.0, 18.0], shoonya_2s3RXF8DVX25H4, 5702097]
[paragraph, [80.0, 244.0, 529.0, 18.0], shoonya_2s3RXF8DVX25H4, 5702097]
[paragraph, [80.0, 262.0, 529.0, 18.0], shoonya_2s3RXF8DVX25H4, 5702097]
[paragraph, [80.0, 280.0, 529.0, 18.0], shoonya_2s3RXF8DVX25H4, 5702097]
[paragraph, [80.0, 298.0, 529.0, 18.0], shoonya_2s3RXF8DVX25H4, 5702097]
[paragraph, [80.0, 325.0, 529.0, 18.0], 0s8GHlLCnK, 5702097]
[paragraph, [80.0, 343.0, 529.0, 18.0], 0s8GHlLCnK, 5702097]
[paragraph, [80.0, 361.0, 529.0, 18.0], 0s8GHlLCnK, 5702097]
[paragraph, [80.0, 379.0, 529.0, 18.0], 0s8GHlLCnK, 5702097]
[paragraph, [80.0, 397.0, 529.0, 18.0], 0s8GHlLCnK, 5702097]
[paragraph, [80.0, 415.0, 529.0, 18.0], 0s8GHlLCnK, 5702097]
[paragraph, [80.0, 433.0, 529.0, 18.0], 0s8GHlLCnK, 5702097]
[paragraph, [82.0, 455.0, 527.0, 18.0], zwX611O2KH, 5702097]
[paragraph, [82.0, 473.0, 527.0, 18.0], zwX611O2KH, 5702097]
[paragraph, [82.0, 491.0, 527.0, 18.0], zwX611O2KH, 5702097]
[paragraph, [82.0, 509.0, 527.0, 18.0], zwX611O2KH, 5702097]
[paragraph, [82.0, 527.0, 527.0, 18.0], zwX611O2KH, 5702097]
[paragraph, [82.0, 545.0, 527.0, 18.0], zwX611O2KH, 5702097]
[paragraph, [82.0, 563.0, 527.0, 18.0], zwX611O2KH, 5702097]
[paragraph, [82.0, 581.0, 527.0, 18.0], zwX611O2KH, 5702097]
[paragraph, [81.0, 618.0, 527.0, 18.0], R5v0BZ1rYJ, 5702097]
[paragraph, [81.0, 636.0, 527.0, 18.0], R5v0BZ1rYJ, 5702097]
[paragraph, [81.0, 654.0, 527.0, 18.0], R5v0BZ1rYJ, 5702097]
[paragraph, [81.0, 672.0, 527.0, 18.0], R5v0BZ1rYJ, 5702097]
[paragraph, [81.0, 690.0, 527.0, 18.0], R5v0BZ1rYJ, 5702097]
[paragraph, [81.0, 708.0, 527.0, 18.0], R5v0BZ1rYJ, 5702097]
[paragraph, [81.0, 726.0, 527.0, 18.0], R5v0BZ1rYJ, 5702097]
[paragraph, [80.0, 747.0, 529.0, 18.0], CoOAQRwVDe, 5702097]
[paragraph, [80.0, 765.0, 529.0, 18.0], CoOAQRwVDe, 5702097]
[paragraph, [80.0, 783.0, 529.0, 18.0], CoOAQRwVDe, 5702097]
[paragraph, [80.0, 801.0, 529.0, 18.0], CoOAQRwVDe, 5702097]
[paragraph, [80.0, 819.0, 529.0, 18.0], CoOAQRwVDe, 5702097]
[paragraph, [80.0, 837.0, 529.0, 18.0], CoOAQRwVDe, 5702097]
[paragraph, [80.0, 875.0, 531.0, 18.0], shoonya_3sHP94781OZLCS, 5702097]
[paragraph, [80.0, 893.0, 531.0, 18.0], shoonya_3sHP94781OZLCS, 5702097]
[paragraph, [80.0, 911.0, 531.0, 18.0], shoonya_3sHP94781OZLCS, 5702097]
[paragraph, [80.0, 929.0, 531.0, 18.0], shoonya_3sHP94781OZLCS, 5702097]
[paragraph, [80.0, 947.0, 531.0, 18.0], shoonya_3sHP94781OZLCS, 5702097]
