[842, 595]
[paragraph, [54.0, 92.0, 241.0, 18.0], shoonya_13sAT80W9PEJTB, 5742859]
[paragraph, [54.0, 110.0, 241.0, 18.0], shoonya_13sAT80W9PEJTB, 5742859]
[paragraph, [300.0, 94.0, 242.0, 18.0], shoonya_10s80B6YKPIV05, 5742859]
[paragraph, [300.0, 112.0, 242.0, 18.0], shoonya_10s80B6YKPIV05, 5742859]
[paragraph, [300.0, 130.0, 242.0, 18.0], shoonya_10s80B6YKPIV05, 5742859]
[paragraph, [300.0, 148.0, 242.0, 18.0], shoonya_10s80B6YKPIV05, 5742859]
[paragraph, [300.0, 166.0, 242.0, 18.0], shoonya_10s80B6YKPIV05, 5742859]
[paragraph, [54.0, 136.0, 242.0, 18.0], shoonya_9sOO33J11ENWVS, 5742859]
[paragraph, [54.0, 154.0, 242.0, 18.0], shoonya_9sOO33J11ENWVS, 5742859]
[paragraph, [301.0, 192.0, 241.0, 18.0], shoonya_6s3O49ZAHHKKMM, 5742859]
[paragraph, [301.0, 210.0, 241.0, 18.0], shoonya_6s3O49ZAHHKKMM, 5742859]
[paragraph, [54.0, 193.0, 241.0, 18.0], shoonya_7sTRUSDZEPC4XN, 5742859]
[paragraph, [54.0, 211.0, 241.0, 18.0], shoonya_7sTRUSDZEPC4XN, 5742859]
[paragraph, [54.0, 229.0, 241.0, 18.0], shoonya_7sTRUSDZEPC4XN, 5742859]
[paragraph, [300.0, 232.0, 243.0, 18.0], shoonya_5sAWO913VEV4G5, 5742859]
[paragraph, [300.0, 250.0, 243.0, 18.0], shoonya_5sAWO913VEV4G5, 5742859]
[paragraph, [300.0, 268.0, 243.0, 18.0], shoonya_5sAWO913VEV4G5, 5742859]
[paragraph, [300.0, 308.0, 243.0, 18.0], shoonya_1s6U4IEEKBE8O0, 5742859]
[paragraph, [300.0, 326.0, 243.0, 18.0], shoonya_1s6U4IEEKBE8O0, 5742859]
[paragraph, [300.0, 344.0, 243.0, 18.0], shoonya_1s6U4IEEKBE8O0, 5742859]
[paragraph, [300.0, 362.0, 243.0, 18.0], shoonya_1s6U4IEEKBE8O0, 5742859]
[paragraph, [300.0, 380.0, 243.0, 18.0], shoonya_1s6U4IEEKBE8O0, 5742859]
[paragraph, [300.0, 398.0, 243.0, 18.0], shoonya_1s6U4IEEKBE8O0, 5742859]
[paragraph, [300.0, 416.0, 243.0, 18.0], shoonya_1s6U4IEEKBE8O0, 5742859]
[paragraph, [300.0, 434.0, 243.0, 18.0], shoonya_1s6U4IEEKBE8O0, 5742859]
[paragraph, [300.0, 452.0, 243.0, 18.0], shoonya_1s6U4IEEKBE8O0, 5742859]
[paragraph, [55.0, 445.0, 240.0, 18.0], shoonya_11sU495AN32L4E, 5742859]
[paragraph, [55.0, 463.0, 240.0, 18.0], shoonya_11sU495AN32L4E, 5742859]
[paragraph, [55.0, 481.0, 240.0, 18.0], shoonya_11sU495AN32L4E, 5742859]
[paragraph, [301.0, 475.0, 241.0, 18.0], shoonya_12s23ECJ15Y5B3, 5742859]
[paragraph, [301.0, 493.0, 241.0, 18.0], shoonya_12s23ECJ15Y5B3, 5742859]
[paragraph, [301.0, 511.0, 241.0, 18.0], shoonya_12s23ECJ15Y5B3, 5742859]
[paragraph, [54.0, 529.0, 242.0, 18.0], shoonya_4sAQV372RHULQI, 5742859]
[paragraph, [54.0, 547.0, 242.0, 18.0], shoonya_4sAQV372RHULQI, 5742859]
[paragraph, [54.0, 565.0, 242.0, 18.0], shoonya_4sAQV372RHULQI, 5742859]
[paragraph, [54.0, 583.0, 242.0, 18.0], shoonya_4sAQV372RHULQI, 5742859]
[paragraph, [301.0, 549.0, 241.0, 18.0], shoonya_2sWG4R0CT3BS3A, 5742859]
[paragraph, [301.0, 567.0, 241.0, 18.0], shoonya_2sWG4R0CT3BS3A, 5742859]
[paragraph, [301.0, 585.0, 241.0, 18.0], shoonya_2sWG4R0CT3BS3A, 5742859]
[paragraph, [301.0, 603.0, 241.0, 18.0], shoonya_2sWG4R0CT3BS3A, 5742859]
[paragraph, [301.0, 621.0, 241.0, 18.0], shoonya_2sWG4R0CT3BS3A, 5742859]
[paragraph, [53.0, 613.0, 242.0, 18.0], shoonya_3sYW4PVW9JOLE8, 5742859]
[paragraph, [53.0, 631.0, 242.0, 18.0], shoonya_3sYW4PVW9JOLE8, 5742859]
[paragraph, [53.0, 649.0, 242.0, 18.0], shoonya_3sYW4PVW9JOLE8, 5742859]
[paragraph, [53.0, 667.0, 242.0, 18.0], shoonya_3sYW4PVW9JOLE8, 5742859]
[paragraph, [53.0, 685.0, 242.0, 18.0], shoonya_3sYW4PVW9JOLE8, 5742859]
[paragraph, [53.0, 703.0, 242.0, 18.0], shoonya_3sYW4PVW9JOLE8, 5742859]
[paragraph, [300.0, 661.0, 242.0, 18.0], shoonya_8sIDGC9LUAWFVZ, 5742859]
[paragraph, [300.0, 679.0, 242.0, 18.0], shoonya_8sIDGC9LUAWFVZ, 5742859]
[paragraph, [300.0, 697.0, 242.0, 18.0], shoonya_8sIDGC9LUAWFVZ, 5742859]
[folio, [472.0, 745.0, 67.0, 18.0], shoonya_15s3HWTNNKHAIX, 5742859]
