[1625, 1211]
[paragraph, [791.0, 92.0, 342.0, 36.0], shoonya_1s3S9QVXWE8C0B, 5742577]
[paragraph, [791.0, 128.0, 342.0, 36.0], shoonya_1s3S9QVXWE8C0B, 5742577]
[paragraph, [791.0, 164.0, 342.0, 36.0], shoonya_1s3S9QVXWE8C0B, 5742577]
[paragraph, [791.0, 200.0, 342.0, 36.0], shoonya_1s3S9QVXWE8C0B, 5742577]
[paragraph, [791.0, 236.0, 342.0, 36.0], shoonya_1s3S9QVXWE8C0B, 5742577]
[paragraph, [791.0, 272.0, 342.0, 36.0], shoonya_1s3S9QVXWE8C0B, 5742577]
[paragraph, [791.0, 308.0, 342.0, 36.0], shoonya_1s3S9QVXWE8C0B, 5742577]
[paragraph, [791.0, 344.0, 342.0, 36.0], shoonya_1s3S9QVXWE8C0B, 5742577]
[paragraph, [433.0, 102.0, 336.0, 36.0], shoonya_3sETP21QKZ3PEM, 5742577]
[paragraph, [433.0, 138.0, 336.0, 36.0], shoonya_3sETP21QKZ3PEM, 5742577]
[paragraph, [433.0, 174.0, 336.0, 36.0], shoonya_3sETP21QKZ3PEM, 5742577]
[paragraph, [71.0, 107.0, 341.0, 36.0], jLIcfL3VIC, 5742577]
[paragraph, [71.0, 143.0, 341.0, 36.0], jLIcfL3VIC, 5742577]
[paragraph, [71.0, 179.0, 341.0, 36.0], jLIcfL3VIC, 5742577]
[paragraph, [71.0, 215.0, 341.0, 36.0], jLIcfL3VIC, 5742577]
[paragraph, [71.0, 251.0, 341.0, 36.0], jLIcfL3VIC, 5742577]
[paragraph, [71.0, 287.0, 341.0, 36.0], jLIcfL3VIC, 5742577]
[paragraph, [71.0, 323.0, 341.0, 36.0], jLIcfL3VIC, 5742577]
[paragraph, [432.0, 259.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 295.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 331.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 367.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 403.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 439.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 475.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 511.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 547.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 583.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 619.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 655.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 691.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 727.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 763.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 799.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 835.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 871.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 907.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 943.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 979.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 1015.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [432.0, 1051.0, 343.0, 36.0], UtHY1PQAki, 5742577]
[paragraph, [75.0, 388.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 424.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 460.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 496.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 532.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 568.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 604.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 640.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 676.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 712.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 748.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 784.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 820.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 856.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 892.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 928.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 964.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 1000.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 1036.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 1072.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [75.0, 1108.0, 338.0, 36.0], vwFDcHVV3_, 5742577]
[paragraph, [795.0, 417.0, 336.0, 36.0], T5zQQXvxpB, 5742577]
[paragraph, [795.0, 453.0, 336.0, 36.0], T5zQQXvxpB, 5742577]
[paragraph, [795.0, 489.0, 336.0, 36.0], T5zQQXvxpB, 5742577]
[paragraph, [795.0, 525.0, 336.0, 36.0], T5zQQXvxpB, 5742577]
[paragraph, [795.0, 561.0, 336.0, 36.0], T5zQQXvxpB, 5742577]
[paragraph, [795.0, 597.0, 336.0, 36.0], T5zQQXvxpB, 5742577]
[paragraph, [795.0, 633.0, 336.0, 36.0], T5zQQXvxpB, 5742577]
[paragraph, [795.0, 669.0, 336.0, 36.0], T5zQQXvxpB, 5742577]
