[2481, 1654]
[folio, [337.0, 90.0, 142.0, 36.0], PG4jjwDQTV, 5721309]
[folio, [337.0, 126.0, 142.0, 36.0], PG4jjwDQTV, 5721309]
[paragraph, [217.0, 214.0, 1296.0, 36.0], AJ9gh1OHxL, 5721309]
[paragraph, [217.0, 250.0, 1296.0, 36.0], AJ9gh1OHxL, 5721309]
[paragraph, [217.0, 286.0, 1296.0, 36.0], AJ9gh1OHxL, 5721309]
[paragraph, [217.0, 322.0, 1296.0, 36.0], AJ9gh1OHxL, 5721309]
[paragraph, [217.0, 358.0, 1296.0, 36.0], AJ9gh1OHxL, 5721309]
[paragraph, [217.0, 394.0, 1296.0, 36.0], AJ9gh1OHxL, 5721309]
[paragraph, [270.0, 431.0, 1139.0, 36.0], BrBm3jkmxW, 5721309]
[paragraph, [281.0, 485.0, 1054.0, 36.0], avwGRP0rvn, 5721309]
[paragraph, [233.0, 541.0, 1275.0, 36.0], N7lsbbFpcK, 5721309]
[paragraph, [233.0, 577.0, 1275.0, 36.0], N7lsbbFpcK, 5721309]
[paragraph, [217.0, 648.0, 1298.0, 36.0], sahy0NKJ9z, 5721309]
[paragraph, [217.0, 684.0, 1298.0, 36.0], sahy0NKJ9z, 5721309]
[paragraph, [217.0, 720.0, 1298.0, 36.0], sahy0NKJ9z, 5721309]
[paragraph, [217.0, 756.0, 1298.0, 36.0], sahy0NKJ9z, 5721309]
[paragraph, [217.0, 792.0, 1298.0, 36.0], sahy0NKJ9z, 5721309]
[paragraph, [212.0, 859.0, 1290.0, 36.0], V1bOcFe1gc, 5721309]
[paragraph, [212.0, 895.0, 1290.0, 36.0], V1bOcFe1gc, 5721309]
[paragraph, [212.0, 931.0, 1290.0, 36.0], V1bOcFe1gc, 5721309]
[paragraph, [212.0, 967.0, 1290.0, 36.0], V1bOcFe1gc, 5721309]
[paragraph, [212.0, 1003.0, 1290.0, 36.0], V1bOcFe1gc, 5721309]
[paragraph, [206.0, 1074.0, 1296.0, 36.0], eZFFvC3eDP, 5721309]
[paragraph, [206.0, 1110.0, 1296.0, 36.0], eZFFvC3eDP, 5721309]
[paragraph, [272.0, 1177.0, 1219.0, 36.0], sNol3prxIl, 5721309]
[paragraph, [266.0, 1231.0, 874.0, 36.0], d3vZMqGSW_, 5721309]
[paragraph, [262.0, 1286.0, 1046.0, 36.0], VvZgDu7h1D, 5721309]
[paragraph, [266.0, 1340.0, 1195.0, 36.0], HoXIiRJgsI, 5721309]
[paragraph, [210.0, 1394.0, 1281.0, 36.0], 1bLQzrCsXt, 5721309]
[paragraph, [210.0, 1430.0, 1281.0, 36.0], 1bLQzrCsXt, 5721309]
[paragraph, [210.0, 1466.0, 1281.0, 36.0], 1bLQzrCsXt, 5721309]
[paragraph, [210.0, 1502.0, 1281.0, 36.0], 1bLQzrCsXt, 5721309]
[paragraph, [210.0, 1538.0, 1281.0, 36.0], 1bLQzrCsXt, 5721309]
[paragraph, [208.0, 1607.0, 1285.0, 36.0], k3lzQNUk63, 5721309]
[paragraph, [208.0, 1643.0, 1285.0, 36.0], k3lzQNUk63, 5721309]
[paragraph, [208.0, 1679.0, 1285.0, 36.0], k3lzQNUk63, 5721309]
[paragraph, [208.0, 1715.0, 1285.0, 36.0], k3lzQNUk63, 5721309]
[paragraph, [208.0, 1751.0, 1285.0, 36.0], k3lzQNUk63, 5721309]
[paragraph, [211.0, 1820.0, 1283.0, 36.0], shoonya_1sCF1Q8IAWHECA, 5721309]
[paragraph, [211.0, 1856.0, 1283.0, 36.0], shoonya_1sCF1Q8IAWHECA, 5721309]
[paragraph, [211.0, 1892.0, 1283.0, 36.0], shoonya_1sCF1Q8IAWHECA, 5721309]
[paragraph, [211.0, 1928.0, 1283.0, 36.0], shoonya_1sCF1Q8IAWHECA, 5721309]
[paragraph, [211.0, 1964.0, 1283.0, 36.0], shoonya_1sCF1Q8IAWHECA, 5721309]
[paragraph, [211.0, 2000.0, 1283.0, 36.0], shoonya_1sCF1Q8IAWHECA, 5721309]
[paragraph, [211.0, 2036.0, 1283.0, 36.0], shoonya_1sCF1Q8IAWHECA, 5721309]
[paragraph, [211.0, 2072.0, 1283.0, 36.0], shoonya_1sCF1Q8IAWHECA, 5721309]
[paragraph, [211.0, 2108.0, 1283.0, 36.0], shoonya_1sCF1Q8IAWHECA, 5721309]
[paragraph, [211.0, 2144.0, 1283.0, 36.0], shoonya_1sCF1Q8IAWHECA, 5721309]
