[1230, 750]
[folio, [381.0, 41.0, 280.0, 18.0], NhegSgl-ce, 6469409]
[paragraph, [65.0, 94.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 112.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 130.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 148.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 166.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 184.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 202.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 220.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 238.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 256.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 274.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 292.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 310.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 328.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 346.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [65.0, 364.0, 590.0, 18.0], yjZTsuNAUx, 6469409]
[paragraph, [67.0, 390.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 408.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 426.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 444.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 462.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 480.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 498.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 516.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 534.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 552.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 570.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 588.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 606.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 624.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 642.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 660.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 678.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 696.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 714.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 732.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
[paragraph, [67.0, 750.0, 590.0, 18.0], shoonya_0sF27U1H206PZ4, 6469409]
