[2174, 1461]
[folio, [126.0, 117.0, 195.0, 36.0], NVxaCGK9cM, 5655168]
[folio, [126.0, 153.0, 195.0, 36.0], NVxaCGK9cM, 5655168]
[paragraph, [105.0, 233.0, 1204.0, 36.0], shoonya_2s9JEQJNA28FHP, 5655168]
[paragraph, [105.0, 269.0, 1204.0, 36.0], shoonya_2s9JEQJNA28FHP, 5655168]
[paragraph, [105.0, 305.0, 1204.0, 36.0], shoonya_2s9JEQJNA28FHP, 5655168]
[paragraph, [105.0, 341.0, 1204.0, 36.0], shoonya_2s9JEQJNA28FHP, 5655168]
[paragraph, [105.0, 377.0, 1204.0, 36.0], shoonya_2s9JEQJNA28FHP, 5655168]
[paragraph, [105.0, 413.0, 1204.0, 36.0], shoonya_2s9JEQJNA28FHP, 5655168]
[paragraph, [98.0, 488.0, 1220.0, 36.0], shoonya_1sT3AIVTEF361G, 5655168]
[paragraph, [98.0, 524.0, 1220.0, 36.0], shoonya_1sT3AIVTEF361G, 5655168]
[paragraph, [98.0, 560.0, 1220.0, 36.0], shoonya_1sT3AIVTEF361G, 5655168]
[paragraph, [98.0, 596.0, 1220.0, 36.0], shoonya_1sT3AIVTEF361G, 5655168]
[paragraph, [98.0, 632.0, 1220.0, 36.0], shoonya_1sT3AIVTEF361G, 5655168]
[paragraph, [98.0, 668.0, 1220.0, 36.0], shoonya_1sT3AIVTEF361G, 5655168]
[paragraph, [98.0, 704.0, 1220.0, 36.0], shoonya_1sT3AIVTEF361G, 5655168]
[paragraph, [98.0, 740.0, 1220.0, 36.0], shoonya_1sT3AIVTEF361G, 5655168]
[paragraph, [98.0, 776.0, 1220.0, 36.0], shoonya_1sT3AIVTEF361G, 5655168]
[paragraph, [98.0, 812.0, 1220.0, 36.0], shoonya_1sT3AIVTEF361G, 5655168]
[section-title, [125.0, 910.0, 970.0, 52.5], shoonya_4sHHEC9GZEMEBL, 5655168]
[paragraph, [134.0, 1005.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [134.0, 1041.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [134.0, 1077.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [134.0, 1113.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [134.0, 1149.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [134.0, 1185.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [134.0, 1221.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [134.0, 1257.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [134.0, 1293.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [134.0, 1329.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [134.0, 1365.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [134.0, 1401.0, 1197.0, 36.0], shoonya_0s88ORBH1IWBR4, 5655168]
[paragraph, [201.0, 1476.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[paragraph, [201.0, 1512.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[paragraph, [201.0, 1548.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[paragraph, [201.0, 1584.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[paragraph, [201.0, 1620.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[paragraph, [201.0, 1656.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[paragraph, [201.0, 1692.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[paragraph, [201.0, 1728.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[paragraph, [201.0, 1764.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[paragraph, [201.0, 1800.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[paragraph, [201.0, 1836.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[paragraph, [201.0, 1872.0, 722.0, 36.0], shoonya_8sP8M044HFASG2, 5655168]
[reference, [122.0, 1964.0, 505.0, 36.0], shoonya_6s7SHNPZ3PA5XV, 5655168]
[reference, [122.0, 2000.0, 505.0, 36.0], shoonya_6s7SHNPZ3PA5XV, 5655168]
