[3968, 2806]
[headline, [338.0, 492.0, 2171.0, 52.5], shoonya_0sZZ61KVIRACO7, 5684176]
[headline, [338.0, 544.5, 2171.0, 52.5], shoonya_0sZZ61KVIRACO7, 5684176]
[headline, [338.0, 597.0, 2171.0, 52.5], shoonya_0sZZ61KVIRACO7, 5684176]
[headline, [338.0, 649.5, 2171.0, 52.5], shoonya_0sZZ61KVIRACO7, 5684176]
[headline, [338.0, 702.0, 2171.0, 52.5], shoonya_0sZZ61KVIRACO7, 5684176]
[paragraph, [1135.0, 832.0, 522.0, 52.5], shoonya_1sHFE5FZ3IX2UR, 5684176]
[paragraph, [1135.0, 884.5, 522.0, 52.5], shoonya_1sHFE5FZ3IX2UR, 5684176]
[paragraph, [1135.0, 937.0, 522.0, 52.5], shoonya_1sHFE5FZ3IX2UR, 5684176]
[paragraph, [1135.0, 989.5, 522.0, 52.5], shoonya_1sHFE5FZ3IX2UR, 5684176]
[paragraph, [1135.0, 1042.0, 522.0, 52.5], shoonya_1sHFE5FZ3IX2UR, 5684176]
[figure-caption, [398.0, 1957.0, 591.0, 52.5], shoonya_7sDKKUWUHWL92S, 5684176]
[figure-caption, [398.0, 2009.5, 591.0, 52.5], shoonya_7sDKKUWUHWL92S, 5684176]
[figure-caption, [398.0, 2062.0, 591.0, 52.5], shoonya_7sDKKUWUHWL92S, 5684176]
[figure-caption, [398.0, 2114.5, 591.0, 52.5], shoonya_7sDKKUWUHWL92S, 5684176]
[figure-caption, [398.0, 2167.0, 591.0, 52.5], shoonya_7sDKKUWUHWL92S, 5684176]
[figure-caption, [398.0, 2219.5, 591.0, 52.5], shoonya_7sDKKUWUHWL92S, 5684176]
[figure-caption, [398.0, 2272.0, 591.0, 52.5], shoonya_7sDKKUWUHWL92S, 5684176]
[figure-caption, [398.0, 2324.5, 591.0, 52.5], shoonya_7sDKKUWUHWL92S, 5684176]
[figure-caption, [1869.0, 1959.0, 538.0, 52.5], cjuMABkp_x, 5684176]
[figure-caption, [1869.0, 2011.5, 538.0, 52.5], cjuMABkp_x, 5684176]
[figure-caption, [1869.0, 2064.0, 538.0, 52.5], cjuMABkp_x, 5684176]
[figure-caption, [1869.0, 2116.5, 538.0, 52.5], cjuMABkp_x, 5684176]
[figure-caption, [1869.0, 2169.0, 538.0, 52.5], cjuMABkp_x, 5684176]
[figure-caption, [1869.0, 2221.5, 538.0, 52.5], cjuMABkp_x, 5684176]
[figure-caption, [1869.0, 2274.0, 538.0, 52.5], cjuMABkp_x, 5684176]
[figure-caption, [1869.0, 2326.5, 538.0, 52.5], cjuMABkp_x, 5684176]
[figure-caption, [1096.0, 1963.0, 613.0, 52.5], h0v89OTWb4, 5684176]
[figure-caption, [1096.0, 2015.5, 613.0, 52.5], h0v89OTWb4, 5684176]
[figure-caption, [1096.0, 2068.0, 613.0, 52.5], h0v89OTWb4, 5684176]
[figure-caption, [1096.0, 2120.5, 613.0, 52.5], h0v89OTWb4, 5684176]
[figure-caption, [1096.0, 2173.0, 613.0, 52.5], h0v89OTWb4, 5684176]
[figure-caption, [1096.0, 2225.5, 613.0, 52.5], h0v89OTWb4, 5684176]
[figure-caption, [1096.0, 2278.0, 613.0, 52.5], h0v89OTWb4, 5684176]
[figure-caption, [1096.0, 2330.5, 613.0, 52.5], h0v89OTWb4, 5684176]
[folio, [360.0, 3808.0, 678.0, 52.5], cfw0B7T9aP, 5684176]
