[882, 655]
[website-link, [258.0, 21.0, 130.0, 18.0], WprLbiZ88L, 5758625]
[ordered-list, [74.0, 102.0, 517.0, 18.0], shoonya_5s6U21ZM53CUP9, 5758625]
[ordered-list, [74.0, 120.0, 517.0, 18.0], shoonya_5s6U21ZM53CUP9, 5758625]
[ordered-list, [74.0, 138.0, 517.0, 18.0], shoonya_5s6U21ZM53CUP9, 5758625]
[ordered-list, [74.0, 156.0, 517.0, 18.0], shoonya_5s6U21ZM53CUP9, 5758625]
[ordered-list, [74.0, 174.0, 517.0, 18.0], shoonya_5s6U21ZM53CUP9, 5758625]
[ordered-list, [74.0, 192.0, 517.0, 18.0], shoonya_5s6U21ZM53CUP9, 5758625]
[ordered-list, [74.0, 210.0, 517.0, 18.0], shoonya_5s6U21ZM53CUP9, 5758625]
[ordered-list, [74.0, 228.0, 517.0, 18.0], shoonya_5s6U21ZM53CUP9, 5758625]
[figure-caption, [309.0, 274.0, 122.0, 18.0], qeqyQYxwI6, 5758625]
[ordered-list, [73.0, 307.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 325.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 343.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 361.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 379.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 397.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 415.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 433.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 451.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 469.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 487.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 505.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 523.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 541.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 559.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 577.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 595.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 613.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 631.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 649.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 667.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 685.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 703.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 721.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 739.0, 519.0, 18.0], mKvWs988xq, 5758625]
[ordered-list, [73.0, 757.0, 519.0, 18.0], mKvWs988xq, 5758625]
[sub-ordered-list, [246.0, 346.0, 325.0, 18.0], shoonya_10s26QZ86XX6UD, 5758625]
[sub-ordered-list, [246.0, 364.0, 325.0, 18.0], shoonya_10s26QZ86XX6UD, 5758625]
[sub-ordered-list, [246.0, 382.0, 325.0, 18.0], shoonya_10s26QZ86XX6UD, 5758625]
[sub-ordered-list, [246.0, 400.0, 325.0, 18.0], shoonya_10s26QZ86XX6UD, 5758625]
[sub-ordered-list, [246.0, 418.0, 325.0, 18.0], shoonya_10s26QZ86XX6UD, 5758625]
[sub-ordered-list, [246.0, 436.0, 325.0, 18.0], shoonya_10s26QZ86XX6UD, 5758625]
[sub-ordered-list, [315.0, 511.0, 265.0, 18.0], j8CEiV1ZPG, 5758625]
[sub-ordered-list, [315.0, 529.0, 265.0, 18.0], j8CEiV1ZPG, 5758625]
[sub-ordered-list, [315.0, 547.0, 265.0, 18.0], j8CEiV1ZPG, 5758625]
[sub-ordered-list, [315.0, 565.0, 265.0, 18.0], j8CEiV1ZPG, 5758625]
[sub-ordered-list, [315.0, 583.0, 265.0, 18.0], j8CEiV1ZPG, 5758625]
[sub-ordered-list, [315.0, 601.0, 265.0, 18.0], j8CEiV1ZPG, 5758625]
[sub-ordered-list, [300.0, 669.0, 273.0, 18.0], BUx0bpWGV0, 5758625]
[sub-ordered-list, [300.0, 687.0, 273.0, 18.0], BUx0bpWGV0, 5758625]
[sub-ordered-list, [300.0, 705.0, 273.0, 18.0], BUx0bpWGV0, 5758625]
[sub-ordered-list, [300.0, 723.0, 273.0, 18.0], BUx0bpWGV0, 5758625]
[sub-ordered-list, [300.0, 741.0, 273.0, 18.0], BUx0bpWGV0, 5758625]
[sub-ordered-list, [300.0, 759.0, 273.0, 18.0], BUx0bpWGV0, 5758625]
[folio, [28.0, 852.0, 110.0, 18.0], oRyAkRq9rM, 5758625]
