[1763, 1275]
[paragraph, [36.0, 39.0, 626.0, 36.0], shoonya_5sIXTC7PJAO43X, 5713005]
[paragraph, [36.0, 75.0, 626.0, 36.0], shoonya_5sIXTC7PJAO43X, 5713005]
[paragraph, [36.0, 111.0, 626.0, 36.0], shoonya_5sIXTC7PJAO43X, 5713005]
[paragraph, [36.0, 147.0, 626.0, 36.0], shoonya_5sIXTC7PJAO43X, 5713005]
[paragraph, [36.0, 183.0, 626.0, 36.0], shoonya_5sIXTC7PJAO43X, 5713005]
[paragraph, [36.0, 219.0, 626.0, 36.0], shoonya_5sIXTC7PJAO43X, 5713005]
[paragraph, [36.0, 255.0, 626.0, 36.0], shoonya_5sIXTC7PJAO43X, 5713005]
[paragraph, [36.0, 291.0, 626.0, 36.0], shoonya_5sIXTC7PJAO43X, 5713005]
[paragraph, [36.0, 327.0, 626.0, 36.0], shoonya_5sIXTC7PJAO43X, 5713005]
[paragraph, [36.0, 363.0, 626.0, 36.0], shoonya_5sIXTC7PJAO43X, 5713005]
[paragraph, [36.0, 399.0, 626.0, 36.0], shoonya_5sIXTC7PJAO43X, 5713005]
[paragraph, [37.0, 456.0, 624.0, 36.0], shoonya_3s7YC68TACBG52, 5713005]
[paragraph, [37.0, 492.0, 624.0, 36.0], shoonya_3s7YC68TACBG52, 5713005]
[paragraph, [37.0, 528.0, 624.0, 36.0], shoonya_3s7YC68TACBG52, 5713005]
[paragraph, [37.0, 564.0, 624.0, 36.0], shoonya_3s7YC68TACBG52, 5713005]
[paragraph, [37.0, 600.0, 624.0, 36.0], shoonya_3s7YC68TACBG52, 5713005]
[paragraph, [37.0, 636.0, 624.0, 36.0], shoonya_3s7YC68TACBG52, 5713005]
[paragraph, [37.0, 672.0, 624.0, 36.0], shoonya_3s7YC68TACBG52, 5713005]
[paragraph, [37.0, 708.0, 624.0, 36.0], shoonya_3s7YC68TACBG52, 5713005]
[paragraph, [37.0, 744.0, 624.0, 36.0], shoonya_3s7YC68TACBG52, 5713005]
[paragraph, [660.0, 773.0, 614.0, 36.0], GahPEKqmLs, 5713005]
[paragraph, [660.0, 809.0, 614.0, 36.0], GahPEKqmLs, 5713005]
[paragraph, [660.0, 845.0, 614.0, 36.0], GahPEKqmLs, 5713005]
[paragraph, [660.0, 881.0, 614.0, 36.0], GahPEKqmLs, 5713005]
[paragraph, [660.0, 917.0, 614.0, 36.0], GahPEKqmLs, 5713005]
[paragraph, [660.0, 953.0, 614.0, 36.0], GahPEKqmLs, 5713005]
[paragraph, [660.0, 989.0, 614.0, 36.0], GahPEKqmLs, 5713005]
[paragraph, [660.0, 1025.0, 614.0, 36.0], GahPEKqmLs, 5713005]
[paragraph, [660.0, 1061.0, 614.0, 36.0], GahPEKqmLs, 5713005]
[paragraph, [39.0, 797.0, 621.0, 36.0], shoonya_1sYPL1WNHPMQHB, 5713005]
[paragraph, [39.0, 833.0, 621.0, 36.0], shoonya_1sYPL1WNHPMQHB, 5713005]
[paragraph, [39.0, 869.0, 621.0, 36.0], shoonya_1sYPL1WNHPMQHB, 5713005]
[paragraph, [39.0, 905.0, 621.0, 36.0], shoonya_1sYPL1WNHPMQHB, 5713005]
[paragraph, [39.0, 941.0, 621.0, 36.0], shoonya_1sYPL1WNHPMQHB, 5713005]
[paragraph, [39.0, 977.0, 621.0, 36.0], shoonya_1sYPL1WNHPMQHB, 5713005]
[paragraph, [39.0, 1013.0, 621.0, 36.0], shoonya_1sYPL1WNHPMQHB, 5713005]
[paragraph, [39.0, 1049.0, 621.0, 36.0], shoonya_1sYPL1WNHPMQHB, 5713005]
[paragraph, [39.0, 1085.0, 621.0, 36.0], shoonya_1sYPL1WNHPMQHB, 5713005]
[paragraph, [665.0, 1129.0, 609.0, 36.0], shoonya_4sFY97O96OWNOY, 5713005]
[paragraph, [665.0, 1165.0, 609.0, 36.0], shoonya_4sFY97O96OWNOY, 5713005]
[paragraph, [665.0, 1201.0, 609.0, 36.0], shoonya_4sFY97O96OWNOY, 5713005]
[paragraph, [665.0, 1237.0, 609.0, 36.0], shoonya_4sFY97O96OWNOY, 5713005]
[paragraph, [665.0, 1273.0, 609.0, 36.0], shoonya_4sFY97O96OWNOY, 5713005]
[paragraph, [665.0, 1309.0, 609.0, 36.0], shoonya_4sFY97O96OWNOY, 5713005]
[paragraph, [665.0, 1345.0, 609.0, 36.0], shoonya_4sFY97O96OWNOY, 5713005]
[paragraph, [665.0, 1381.0, 609.0, 36.0], shoonya_4sFY97O96OWNOY, 5713005]
[paragraph, [665.0, 1417.0, 609.0, 36.0], shoonya_4sFY97O96OWNOY, 5713005]
[paragraph, [39.0, 1137.0, 625.0, 36.0], shoonya_6s6RSJSRJW8HDN, 5713005]
[paragraph, [39.0, 1173.0, 625.0, 36.0], shoonya_6s6RSJSRJW8HDN, 5713005]
[paragraph, [39.0, 1209.0, 625.0, 36.0], shoonya_6s6RSJSRJW8HDN, 5713005]
[paragraph, [39.0, 1245.0, 625.0, 36.0], shoonya_6s6RSJSRJW8HDN, 5713005]
[paragraph, [39.0, 1281.0, 625.0, 36.0], shoonya_6s6RSJSRJW8HDN, 5713005]
[paragraph, [39.0, 1317.0, 625.0, 36.0], shoonya_6s6RSJSRJW8HDN, 5713005]
[paragraph, [42.0, 1406.0, 625.0, 36.0], YFE-jqGTXL, 5713005]
[paragraph, [660.0, 1469.0, 614.0, 36.0], l_LuA-SMCs, 5713005]
[paragraph, [660.0, 1505.0, 614.0, 36.0], l_LuA-SMCs, 5713005]
[paragraph, [660.0, 1541.0, 614.0, 36.0], l_LuA-SMCs, 5713005]
[paragraph, [660.0, 1577.0, 614.0, 36.0], l_LuA-SMCs, 5713005]
[paragraph, [47.0, 1508.0, 598.0, 36.0], d53NaGn1ny, 5713005]
[paragraph, [47.0, 1575.0, 609.0, 36.0], BxV_FW7MFw, 5713005]
[paragraph, [47.0, 1611.0, 609.0, 36.0], BxV_FW7MFw, 5713005]
[paragraph, [47.0, 1647.0, 609.0, 36.0], BxV_FW7MFw, 5713005]
[folio, [47.0, 1692.0, 120.0, 36.0], 3BfTAzdOER, 5713005]
