[1650, 1275]
[section-title, [186.0, 135.0, 900.0, 49.5], ZHhydseEfy, 5781382]
[sidebar, [922.0, 255.0, 180.0, 36.0], jg51zFKYVN, 5781382]
[ordered-list, [81.0, 259.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 295.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 331.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 367.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 403.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 439.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 475.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 511.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 547.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 583.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 619.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 655.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 691.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 727.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 763.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[ordered-list, [81.0, 799.0, 1083.0, 36.0], -z4y3_lpte, 5781382]
[sub-ordered-list, [196.0, 299.0, 594.0, 36.0], zZ-9qBaxjt, 5781382]
[sub-ordered-list, [196.0, 335.0, 594.0, 36.0], zZ-9qBaxjt, 5781382]
[sidebar, [925.0, 401.0, 152.0, 36.0], 7PB7R3987P, 5781382]
[sub-ordered-list, [207.0, 438.0, 487.0, 36.0], G4RFxHZFEl, 5781382]
[sub-ordered-list, [207.0, 474.0, 487.0, 36.0], G4RFxHZFEl, 5781382]
[sidebar, [948.0, 548.0, 145.0, 36.0], CyEVzOeXzt, 5781382]
[sub-ordered-list, [213.0, 580.0, 766.0, 36.0], 8dHuMK-wm_, 5781382]
[sub-ordered-list, [213.0, 616.0, 766.0, 36.0], 8dHuMK-wm_, 5781382]
[sub-ordered-list, [213.0, 652.0, 766.0, 36.0], 8dHuMK-wm_, 5781382]
[sidebar, [953.0, 691.0, 156.0, 36.0], RkJikZ2jkE, 5781382]
[sub-ordered-list, [213.0, 725.0, 570.0, 36.0], 1GG_M5Zdek, 5781382]
[sub-ordered-list, [213.0, 761.0, 570.0, 36.0], 1GG_M5Zdek, 5781382]
[sub-ordered-list, [213.0, 797.0, 570.0, 36.0], 1GG_M5Zdek, 5781382]
[section-title, [134.0, 857.0, 850.0, 49.5], shoonya_7s89XRITWORK9B, 5781382]
[reference, [174.0, 945.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 981.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1017.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1053.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1089.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1125.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1161.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1197.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1233.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1269.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1305.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1341.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1377.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1413.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1449.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
[reference, [174.0, 1485.0, 954.0, 36.0], shoonya_0sP5UWKCC1WYKK, 5781382]
