[1275, 1650]
[folio, [200.0, 152.0, 585.0, 18.0], shoonya_1s0L7XQYMQOZP8, 5764555]
[folio, [200.0, 170.0, 585.0, 18.0], shoonya_1s0L7XQYMQOZP8, 5764555]
[folio, [200.0, 188.0, 585.0, 18.0], shoonya_1s0L7XQYMQOZP8, 5764555]
[folio, [200.0, 206.0, 585.0, 18.0], shoonya_1s0L7XQYMQOZP8, 5764555]
[folio, [200.0, 224.0, 585.0, 18.0], shoonya_1s0L7XQYMQOZP8, 5764555]
[folio, [200.0, 242.0, 585.0, 18.0], shoonya_1s0L7XQYMQOZP8, 5764555]
[folio, [200.0, 260.0, 585.0, 18.0], shoonya_1s0L7XQYMQOZP8, 5764555]
[folio, [200.0, 278.0, 585.0, 18.0], shoonya_1s0L7XQYMQOZP8, 5764555]
[folio, [200.0, 296.0, 585.0, 18.0], shoonya_1s0L7XQYMQOZP8, 5764555]
[folio, [200.0, 314.0, 585.0, 18.0], shoonya_1s0L7XQYMQOZP8, 5764555]
[sidebar, [132.0, 334.0, 150.0, 18.0], 6DtQBZQ0pN, 5764555]
[sidebar, [132.0, 352.0, 150.0, 18.0], 6DtQBZQ0pN, 5764555]
[sidebar, [515.0, 340.0, 257.0, 18.0], IocHaEXCr3, 5764555]
[sidebar, [620.0, 402.0, 156.0, 18.0], CsypYRVKG2, 5764555]
[sidebar, [620.0, 420.0, 156.0, 18.0], CsypYRVKG2, 5764555]
[second-level-question, [134.0, 453.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 471.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 489.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 507.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 525.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 543.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 561.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 579.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 597.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 615.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 633.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 651.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 669.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 687.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 705.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 723.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 741.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 759.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 777.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 795.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 813.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 831.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 849.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 867.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 885.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 903.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 921.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 939.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 957.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[second-level-question, [134.0, 975.0, 647.0, 18.0], badhZ9v4rP, 5764555]
[folio, [387.0, 1085.0, 247.0, 18.0], dQRls848ZN, 5764555]
[folio, [387.0, 1103.0, 247.0, 18.0], dQRls848ZN, 5764555]
