[1754, 1240]
[headline, [103.0, 98.0, 1011.0, 37.5], trHfZ8g2OW, 5774468]
[headline, [103.0, 135.5, 1011.0, 37.5], trHfZ8g2OW, 5774468]
[headline, [103.0, 173.0, 1011.0, 37.5], trHfZ8g2OW, 5774468]
[paragraph, [57.0, 236.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 272.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 308.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 344.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 380.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 416.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 452.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 488.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 524.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 560.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 596.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 632.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 668.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 704.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 740.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 776.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 812.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 848.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 884.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 920.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 956.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 992.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1028.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1064.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1100.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1136.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1172.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1208.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1244.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1280.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1316.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1352.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1388.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1424.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1460.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1496.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1532.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1568.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1604.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1640.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
[paragraph, [57.0, 1676.0, 1129.0, 36.0], shoonya_0s46TQ4AT718DK, 5774468]
