[2400, 1600]
[website-link, [980.0, 110.0, 243.0, 18.0], shoonya_1sTUVJ172QS1YQ, 5660561]
[website-link, [980.0, 128.0, 243.0, 18.0], shoonya_1sTUVJ172QS1YQ, 5660561]
[website-link, [1242.0, 111.0, 177.0, 18.0], c7oO_Aovz3, 5660561]
[folio, [785.0, 183.0, 575.0, 36.0], Gi65eMBQ_S, 5660561]
[folio, [785.0, 219.0, 575.0, 36.0], Gi65eMBQ_S, 5660561]
[paragraph, [148.0, 289.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 325.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 361.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 397.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 433.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 469.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 505.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 541.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 577.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 613.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 649.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 685.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 721.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 757.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 793.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [148.0, 829.0, 1299.0, 36.0], shoonya_3sFKFLJ0488N05, 5660561]
[paragraph, [151.0, 895.0, 1293.0, 36.0], shoonya_2sZHF5YWGMALH0, 5660561]
[paragraph, [151.0, 931.0, 1293.0, 36.0], shoonya_2sZHF5YWGMALH0, 5660561]
